Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-28775.7	-28776.1	0.474051	34.1235	0.118549	0.00954262	0.0272054	0.0390434	0.263223	0.0642462	0.318608	0.00721086	0.0156762	0.0140503	0.216917	0.136371	0.0354842	0.00188716	0.157285	0.144296	0.00276015	0.10002	0.0954491	0.208259	0.0221647	0.0128488	0.00301686	0.0684268	0.00179474	0.037448	0.137669	0.0410662	0.713595	0.791564	0.93637	1.04691	1.22515	0.277458	0.312197	0.311222	0.0991222	2.01411
10	-17807.7	-17810.3	2.5923	7.48417	0.237243	0.016932	0.141042	0.0137916	0.153962	0.0207002	0.0715174	0.0148147	0.0263324	0.0181073	0.00460434	0.166154	0.0295432	0.00467503	0.344413	0.184331	0.00260994	0.218231	0.0587535	0.152861	0.0117883	0.0250633	0.0180148	0.211193	0.0089354	0.210243	0.322447	0.13427	0.112912	0.58098	0.84649	1.07783	1.4947	0.225168	0.197425	0.265616	0.311792	1.93549
20	-15597.9	-15582.3	-15.6556	0.606332	0.0455087	0.00460025	0.387682	0.00731355	0.228792	0.00590302	0.0697398	0.0506723	0.137351	0.00957977	0.00393155	0.0858465	0.0382717	0.00534785	0.0595427	0.0594995	0.00519106	1.68552	0.298265	0.379296	0.0110289	0.107386	0.108397	0.273795	0.00962287	0.154564	0.286803	0.181677	0.0935366	0.0544166	0.315773	0.884515	2.74529	0.23164	0.2031	0.273251	0.29201	3.79467
30	-14725.2	-14706.3	-18.8422	0.560192	0.0222515	0.00135549	0.982789	0.0039452	0.0454538	0.00590142	0.0287596	0.0947418	0.229433	0.00443912	0.00254856	0.115006	0.0447906	0.00271652	0.149615	0.0472382	0.00458606	1.67179	0.285915	0.135582	0.018562	0.148435	0.0677014	0.165659	0.122475	0.0801173	0.154878	0.375287	0.101585	0.0450158	0.289406	0.859567	2.80601	0.362536	0.1685	0.2267	0.242264	4.11355
40	-14613.4	-14595.8	-17.6318	0.54615	0.0309484	0.00145577	1.14774	0.00258286	0.0100926	0.00569472	0.019219	0.0864914	0.236246	0.00279655	0.00220085	0.0833418	0.0414488	0.00146064	0.580136	0.0292115	0.00772679	0.997758	0.206083	0.0865971	0.00838905	0.268826	0.136145	0.168244	0.124386	0.0982218	0.128365	0.381142	0.0996415	0.0422281	0.28098	0.851147	2.82564	0.350984	0.171554	0.230808	0.246654	3.99259
50	-14535.1	-14517	-18.0307	0.577832	0.0430803	0.000565272	0.930414	0.00178145	0.00380109	0.00667911	0.00472753	0.105666	0.263745	0.00281603	0.0029775	0.0905224	0.0518922	0.00133937	0.702809	0.026308	0.0152015	1.03356	0.209094	0.0701831	0.00100036	0.384732	0.0794194	0.128016	0.169199	0.112143	0.128391	0.334336	0.127914	0.0485704	0.299723	0.869574	2.78213	0.316046	0.187717	0.197565	0.298672	4.03232
60	-14504.6	-14480.5	-24.1818	0.541484	0.0484382	0.000947802	1.34118	0.00175028	0.00542008	0.00507338	0.0108504	0.123956	0.21245	0.00316615	0.00399808	0.139689	0.0667536	0.00804043	0.764825	0.0211694	0.0961502	1.01643	0.16701	0.0542048	0.00218774	0.469972	0.0839538	0.146767	0.164481	0.104897	0.151471	0.312734	0.119649	0.0413107	0.278137	0.848254	2.8323	0.283857	0.196552	0.206863	0.312728	4.64761
70	-14474.5	-14451.5	-22.9836	0.519006	0.0385125	0.000480641	1.29718	0.00203291	0.00339796	0.00453917	0.00464366	0.125064	0.122943	0.0010776	0.00439851	0.133523	0.0502622	0.00675871	0.70838	0.0211274	0.208527	1.00959	0.0558809	0.0540675	0.00214838	0.550653	0.122707	0.159035	0.17823	0.113665	0.164132	0.288594	0.0963426	0.0369621	0.264142	0.833619	2.86528	0.294986	0.204258	0.214973	0.285783	4.5279
80	-14479	-14459.4	-19.5527	0.506858	0.0241462	0.000260077	1.15622	0.000849449	0.000514083	0.00650983	0.00612699	0.103079	0.131472	0.000612251	0.00277004	0.143515	0.0479186	0.00816811	0.668027	0.0471627	0.17653	0.997589	0.0707323	0.0830758	0.00272459	0.447897	0.0589641	0.149285	0.222753	0.106696	0.154069	0.2709	0.0962968	0.0346657	0.256369	0.825195	2.88377	0.281432	0.194872	0.215589	0.308106	4.18487
90	-14466.2	-14447.4	-18.8565	0.522522	0.0327429	0.00115038	0.96867	0.00153554	0.00164435	0.00554646	0.00140154	0.0890559	0.100411	0.000318209	0.00563034	0.103076	0.0492362	0.00395032	0.608755	0.0456942	0.202167	1.21305	0.0390357	0.0543712	0.00603723	0.483631	0.0980646	0.203918	0.220902	0.0963446	0.131463	0.244617	0.102754	0.0376342	0.266365	0.835988	2.86001	0.281432	0.194872	0.215589	0.308106	4.11517
