Acanthoscina acanthodes
Brachyscelus crusculum
Brachyscelus globiceps
Brachyscelus rapax
Calamorhynchus pellucidus
Cranocephalus scleroticus
Cyllopus lucasii
Cyllopus magellanicus
Cystisoma gershwinae
Cystisoma pellucida
Glossocephalus milneedwardsi
Glossocephalus sp.
Hyperia macrocephala
Hyperietta parviceps
Hyperioides longipes
Hyperoche capucinus
Hyperoche martinezi
Hyperoche medusarum
Iulopis loveni
Lanceola loveni
Lanceola pacifica
Lanceola sayana
Leptocotis tenuirostris
Lestrigonus schizogeneios
Lycaea nasuta
Microphasma agassizi
Mimonectes loveni
Oxycephalus clausi
Paraphronima gracilis
Parapronoe cambelli
Phronima bucephala
Phronimella elongata
Phronimella elongata
Phrosina semilunata
Phrosina semilunata
Primno brevidens
Primno evansi
Rhabdosoma whitei
Scina borealis
Scypholanceola aestiva
Scypholanceola sp.
Streetsia challengeri
Themsito japonica
Themsito pacifica
Thyropus sphaeroma
Tryphana malmi
Vibilia antartica
Vibilia propinqua
Vibilia viatrix
