amphipod, GI
Amphithyrus bispinosus, 315493572
Amphithyrus glaber, none
Amphithyrus similis, none
Anapronoe reinhardti, none
Bougisia ornata, none
Brachyscelus crusculum, 469664712
Brachyscelus rapacoides, none
Dairella latissima, none
Eupronoe minuta, 87244346
Euthamneus rostratus, none
Glossocephalus milne-edwardsi, 469664722
Hyperia medusarum, none
Hyperietta stebbingi, none
Hyperietta stephenseni, 87244345
Hyperietta vosseleri, 315493577
Hyperioides longipes, 469664725
Hyperoche kroyeri, 469664728
Hyperoche martinezzi, 469664727
Hyperoche mediterranea, none
Hyperoche medusarum, 469664728
Hyperoche picta, none
Hyperoche shihi, none
Iulopis loveni, 469664730
Iulopis mirabilis, none
Lanceola pacifica, 469664732
Lanceola sayana, 469664733 
Lestrigonus bengalensis, 295443394
Lestrigonus crucipes, none
Lestrigonus schizogeneios, 469664735
Lycaea bovallioides, none
Lycaea nasuta, 469664736
Lycaea pulex, 315493585
Lycaea vincentii, none
Lycaeopsis themistoides, none
Mimonectes gaussi, none
Mimonectes sphaericus, none
Oxycephalus clausi, 469664739
Oxycephalus latirostris, none
Oxycephalus piscator, none
Paralycaea gracilis, none
Paralycaea hoylei, none
Paralycaea newtoniana, none
Paraphronima crassipes, 315493581
Paraphronima gracilis, 469664740
Parascelus typhoides, 315493589
Parathemisto gaudichaudii, 54402057
Parathemisto pacifica, 469664756
Phronima atlantica, none
Phronima colletti, none
Phronima curvipes, none
Phronima pacifica, none
Phronima sedentaria, 59939363
Platyscelus serratulus, none
Proscina stephenseni, none
Pseudolycaea pachypoda, none
Schizocelus ornatus, none
Scina marginata, none
Scina spinosa, none
Scina tullbergi, none
Scina unicipes, none
Simorhynchotus antennarius, 315493584
Streetsia porcella, 469664754
Streetsia steenstrupi, none
Sympronoe parva, none
Tetrathyrus forcipatus, 315493588
Thamneus platyrrhyncus, none
Thyropus edwardsi, none
Thyropus similis, none
Thyropus sphaeroma, 469664757
Tryphana malmii, 469664758
Vibilia armata, 315493590
Vibilia australis, none
Vibilia caeca, none
Vibilia chuni, none
Vibilia jeangerardi, none
Vibilia kroyeri, none
Vibilia propinqua, 469664760
Vibilia pyripes, none
Vibilia robusta, none
Vibilia stebbingi, none
Vibilia viatrix, 469664761
outgroups, none
Cyathura, 12698859
Idotea, 21427565
ingroups, none
Themisto abyssorum, 558024829
Cystisoma pellucida, 469664721
Hyperietta sibaginis, 315493578
Hyperietta parviceps, 469664724
Brachyscelus rapax, 469664714
