Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-74474.8	-74373	-101.783	38.5666	0.0613534	0.0668102	0.0385851	0.29459	0.0751527	0.293199	0.0175769	0.0557196	0.308236	0.109749	0.271671	0.0763918	0.0495489	0.376164	0.096718	0.164559	0.0363702	0.0613196	0.0969011	0.0278547	0.249434	0.215506	0.168832	0.0105842	0.023238	0.0369433	0.0439451	0.0355437	0.000870789	0.117531	0.0532009	0.0166668	0.0101194	0.0741688	0.319772	0.0701834	0.183527	0.180508	0.00145965	0.0121931	0.133964	0.123307	0.141665	0.0332149	0.404434	0.200326	0.380497	0.047459	0.245102	0.0151594	0.201392	0.0127551	0.136659	0.00942681	0.035692	0.0856031	0.0807603	0.203505	0.0174195	0.0956765	0.020761	0.186812	0.127732	0.379094	0.00745116	0.0625176	0.0860967	0.0654281	0.3309	0.0385491	0.0709933	0.167995	0.0669398	0.0788078	0.0276403	0.139917	0.217435	0.350175	0.142755	0.0248596	0.0718302	0.387793	0.0225863	0.803386	0.940579	1.04463	1.21141	0.256306	0.0378568	0.177996	0.527841	9.08178
10	-47690.2	-47606.7	-83.5545	1.62202	0.0969977	0.214034	0.0321442	0.10772	0.0927569	0.178713	0.0502175	0.161467	0.143298	0.228402	0.203461	0.0317639	0.183154	0.145006	0.169956	0.252411	0.27065	0.0650124	0.34179	0.075858	0.11442	0.0948416	0.214182	0.0393523	0.10574	0.0813578	0.096224	0.130314	0.00847373	0.0496099	0.0285619	0.0568354	0.0294484	0.0462449	0.160854	0.33481	0.266986	0.400527	0.00439584	0.0305473	0.0519971	0.040443	0.07655	0.0123499	0.145883	0.200326	0.0746865	0.0933284	0.0929663	0.0179561	0.103238	0.00663937	0.145297	0.00830454	0.0112188	0.0440104	0.0312794	0.0269902	0.0858293	0.0127137	0.0744709	0.101495	0.0546298	0.0565363	0.0151179	0.0562783	0.0170608	0.0140895	0.207622	0.0367505	0.0255832	0.0522031	0.0102304	0.0266661	0.00737122	0.0322366	0.0347463	0.15731	0.14394	0.0922936	0.117129	0.381948	0.10738	0.243572	0.607683	1.05685	2.09189	0.325968	0.117975	0.339851	0.216205	7.44363
20	-41539	-41408.4	-130.537	0.297079	0.0627712	0.233852	0.137575	0.0455521	0.106246	0.0929926	0.0572163	0.128027	0.153087	0.525345	0.0832159	0.0108442	0.30918	0.265859	0.161424	0.525549	1.50459	0.0351021	0.522996	0.617446	0.0742834	0.258061	0.178353	0.141763	0.265077	0.292869	0.0834295	0.260523	0.0093762	0.0205633	0.0316683	0.0837369	0.0406773	0.120925	0.108794	0.662122	0.415028	2.08596	0.0236714	0.211947	0.0284464	0.00406954	0.0327993	0.00737281	0.0241336	0.037696	0.0484922	0.0338506	0.11875	0.00924243	0.02653	0.00583297	0.0986563	0.00319425	0.00255208	0.0337363	0.00892985	0.00563599	0.195339	0.0248623	0.0347859	0.0524002	0.0163441	0.0144665	0.00676314	0.0715657	0.00893565	0.00538744	0.105203	0.0281587	0.00740175	0.021404	0.000481171	0.00451144	0.0100989	0.0560793	0.00668282	0.163637	0.16932	0.112308	0.0457232	0.397311	0.111699	0.00506135	0.102225	0.590864	3.30185	0.187475	0.199007	0.374971	0.238547	12.1485
30	-39408.6	-39199.9	-208.722	0.271881	0.0178823	0.333523	0.194786	0.0134108	0.181895	0.0929926	0.0414098	0.192518	0.23072	0.613666	0.0727105	0.0197662	0.167149	0.0575135	0.335467	0.82345	2.80342	0.0506213	1.20524	2.44493	0.0435313	0.41329	0.0335085	0.466007	0.350134	0.461108	0.0428597	0.470757	0.0364442	0.0182515	0.0295738	0.213909	0.0276923	0.136054	0.0411748	1.39599	0.828846	2.86053	0.106876	0.24303	0.0280727	0.00347242	0.0225183	0.00388499	0.00536009	0.0226197	0.0400528	0.0033293	0.43222	0.0138368	0.0263219	0.00155337	0.087017	0.000917076	0.000944091	0.0150371	0.0047383	0.00313052	0.270603	0.0129229	0.0326096	0.0146735	0.27085	0.0143959	0.0038241	0.121801	0.00350694	0.00435355	0.103637	0.00754912	0.00443771	0.00565994	0.000249331	0.0237252	0.00658647	0.232129	0.00591714	0.0836465	0.264505	0.134642	0.0503597	0.3644	0.102447	0.00329195	0.082886	0.545416	3.36841	0.184838	0.282734	0.262212	0.270216	19.9671
40	-38705	-38443.5	-261.498	0.263884	0.00255008	0.420339	0.182088	0.00252298	0.177572	0.105189	0.0479711	0.186891	0.174825	0.989721	0.0657158	0.0154081	0.04305	0.0305815	0.518678	0.708539	4.0655	0.0791698	1.48076	2.8073	0.04159	0.453849	0.0183573	1.38304	0.354963	0.291281	0.0456382	0.499264	0.0515485	0.0309623	0.0141245	0.46867	0.0581534	0.139016	0.0521969	1.39599	0.791031	4.44113	0.104632	0.306257	0.0362699	0.00323767	0.0319614	0.00556769	0.00565026	0.00924562	0.0176397	0.00283751	0.554362	0.00588177	0.0165413	0.00368297	0.435386	0.00358775	0.000559393	0.0339617	0.0098921	0.00561228	0.0954922	0.0213448	0.0203313	0.00541658	0.343273	0.00470187	0.0105905	0.0688677	0.0311955	0.00590283	0.0715113	0.0112419	0.00278341	0.00234806	0.000648478	0.0235357	0.00976538	0.280239	0.0076054	0.0816141	0.24985	0.163896	0.049136	0.355546	0.0999576	0.00282294	0.076884	0.529865	3.39043	0.173486	0.26537	0.307523	0.25362	25.2447
50	-37976.3	-37711.3	-264.946	0.244868	0.00572054	0.441398	0.216881	0.000761103	0.252435	0.107991	0.0632831	0.215883	0.0611045	0.153105	0.0691831	0.0159193	0.0564018	0.0447547	0.526916	0.148535	4.62245	0.0488599	1.67886	2.79033	0.0415395	0.489148	0.0140586	1.64165	0.268426	0.201195	0.0478885	0.548946	0.0708176	0.036755	0.0195904	1.21306	0.0362325	0.160418	0.0712869	1.50251	0.78263	4.23044	0.127374	0.338576	0.0101206	0.00302334	0.0395094	0.00644736	0.0111798	0.00875981	0.0110802	0.00831782	0.137074	0.00868362	0.0143296	0.0035223	0.789273	0.00857006	0.00190678	0.00584627	0.00216383	0.00797275	0.0335809	0.00665568	0.0219236	0.00707458	0.406617	0.00308255	0.00971647	0.0855098	0.102775	0.0095563	0.0840987	0.004068	0.00386054	0.00281599	0.000349853	0.017388	0.0107295	0.330274	0.00853826	0.0833189	0.249387	0.163592	0.0490448	0.354886	0.0997721	0.00188113	0.0630094	0.490537	3.44457	0.171886	0.262923	0.287503	0.277688	25.5897
60	-37307	-37061.2	-245.802	0.250433	0.00995304	0.414374	0.180442	0.00151831	0.193387	0.0863694	0.0682474	0.201344	0.0315061	0.0189785	0.0798608	0.017097	0.0259187	0.0651331	0.503942	0.0467498	4.20173	0.0676616	1.38475	2.88965	0.0461366	0.497301	0.00687666	2.31845	0.075558	0.218966	0.0428318	0.467315	0.065093	0.0349814	0.0191757	1.60247	0.0565743	0.133015	0.0818398	0.690218	0.694442	3.63204	0.127914	0.338576	0.00802175	0.00204715	0.0576308	0.00886742	0.0145495	0.00192801	0.00606995	0.00260742	0.0550671	0.00543761	0.00497336	0.00137051	0.535998	0.0225841	0.00138024	0.00229339	0.00186641	0.00514804	0.0170087	0.0216438	0.0294562	0.00730022	0.360341	0.00296469	0.00721529	0.240154	0.205518	0.0159259	0.0585674	0.00429486	0.00198542	0.00142742	0.000409311	0.0221082	0.0142918	0.28228	0.00607441	0.0796362	0.250388	0.164249	0.0492418	0.356312	0.100173	0.00213199	0.0670027	0.502397	3.42847	0.171886	0.262923	0.287503	0.277688	23.6752
70	-36626.8	-36370.5	-256.335	0.242576	0.00280257	0.448323	0.180442	0.0053184	0.19018	0.0673372	0.0568652	0.158116	0.0469611	0.00428303	0.0739003	0.0194024	0.0481993	0.0612308	0.534974	0.0313584	4.25859	0.0767127	1.70055	3.12082	0.046157	0.458665	0.0057043	1.89741	0.0470747	0.256693	0.0445841	0.364722	0.068269	0.0434468	0.0163971	1.50949	0.0577272	0.162602	0.0786013	0.180157	0.661906	4.50004	0.112391	0.334069	0.0203701	0.00389383	0.0959666	0.00484951	0.00414684	0.00151	0.00235071	0.00898943	0.0126358	0.00230568	0.00677295	0.00136054	0.353198	0.028491	0.000850792	0.00243874	0.00233129	0.00709084	0.00444347	0.0195628	0.023203	0.00494645	0.148802	0.00168945	0.0033816	0.335649	1.27107	0.018204	0.0663605	0.00363139	0.00110272	0.00180462	0.000500621	0.0187865	0.0192628	0.28228	0.0118735	0.0795851	0.250228	0.164143	0.0544176	0.351518	0.100109	0.00178365	0.0613836	0.485567	3.45127	0.170894	0.261406	0.285844	0.281856	24.7286
80	-36406.9	-36156	-250.87	0.238548	0.00716044	0.429631	0.131894	0.00572958	0.162122	0.0982608	0.0548971	0.204849	0.033372	0.00141957	0.0772505	0.0227437	0.0558406	0.0416737	0.496299	0.00953181	4.40689	0.0734853	1.66377	3.02474	0.0392371	0.457437	0.00708789	1.97122	0.0700235	0.234885	0.061309	0.345314	0.0698311	0.0285967	0.0138103	1.50949	0.0548071	0.175158	0.0792371	0.0718892	0.691413	4.21928	0.115071	0.278019	0.0277698	0.00306547	0.0220075	0.0112935	0.00249308	0.000261697	0.00678729	0.00407254	0.00475948	0.00265728	0.00960765	0.00347689	0.135385	0.0220931	0.00103724	0.000867688	0.00285935	0.00941487	0.00159732	0.0752618	0.0240886	0.00566778	0.0587841	0.000978512	0.00302982	0.261846	1.56417	0.0118792	0.0720848	0.00110573	0.00150324	0.00252494	0.00127726	0.043214	0.013805	0.269529	0.00518008	0.0795851	0.250228	0.164143	0.0544176	0.351518	0.100109	0.00162031	0.0585534	0.476705	3.46312	0.170604	0.260961	0.287058	0.281377	24.1821
90	-36083.5	-35847.9	-235.637	0.23751	0.00832533	0.391629	0.124703	0.00416566	0.14342	0.116285	0.0672581	0.162951	0.0525907	0.00272447	0.0885177	0.0232606	0.0527085	0.0493482	0.558211	0.00413671	3.63804	0.0662021	1.51383	3.04499	0.059196	0.493617	0.00833398	2.20867	0.0332608	0.224621	0.0661493	0.353533	0.0623215	0.0315733	0.0168043	0.68841	0.0479654	0.184194	0.0912423	0.0834544	0.662067	4.21928	0.0976449	0.286271	0.0125414	0.00335854	0.0176401	0.0247886	0.00988692	0.000609709	0.00556922	0.00298609	0.0109574	0.00315268	0.024115	0.00418342	0.115226	0.0277962	0.00065889	0.00183265	0.00263789	0.00398202	0.00292301	0.0344778	0.0218194	0.00495986	0.0112277	0.00279762	0.0103979	0.309101	1.50445	0.00517179	0.0601582	0.00051049	0.00239938	0.00385768	0.000262467	0.0635077	0.0505298	0.26405	0.00242749	0.0793611	0.249523	0.163681	0.0542645	0.350529	0.102641	0.00157986	0.0578299	0.474395	3.4662	0.180388	0.257883	0.283672	0.278058	22.6589
