Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-53966.7	-53919.7	-46.9739	54.9788	0.0349776	0.113542	0.133868	0.0472908	0.0757937	0.0473292	0.13804	0.359831	0.0152943	0.261749	0.309552	0.141809	0.00911359	0.0668428	0.0354388	0.0499523	0.275799	0.0434681	0.140768	0.0504694	0.114042	0.0661207	0.0902403	0.0189678	0.0182048	0.0183446	0.0921523	0.031242	0.0880098	0.195164	0.142077	0.0555011	0.0322698	0.0196818	0.0607173	0.0647132	0.0279314	0.0656916	0.0110913	0.0912389	0.0689187	0.0858821	0.171908	0.1608	0.152849	0.0531691	0.0352648	0.0878102	0.0209499	0.0444443	0.0132082	0.102678	0.061281	0.0532566	0.102868	0.130827	0.0925117	0.0501088	0.0274276	0.0229204	0.128562	0.289846	0.055453	0.312461	0.190757	0.834156	0.951172	1.03844	1.17623	0.0114742	0.106261	0.123159	0.759105	5.17049
10	-37433.8	-37402.4	-31.4546	7.71193	0.0432774	0.0640192	0.226461	0.110915	0.133182	0.0926343	0.0804458	0.205588	0.0318662	0.0666742	0.120862	0.0622571	0.0314023	0.145479	0.0404041	0.13351	0.117319	0.0766686	0.0607081	0.0473847	0.217917	0.0720282	0.261612	0.0231322	0.0883673	0.0254558	0.181992	0.0906521	0.0371082	0.051792	0.193706	0.00544172	0.00776251	0.0124902	0.0289683	0.0174388	0.0521638	0.0255633	0.00375312	0.0240248	0.011969	0.0349441	0.0213541	0.0607796	0.0231976	0.0508518	0.00630046	0.0397807	0.0189177	0.0285672	0.00838055	0.0827856	0.00799614	0.0130268	0.0507854	0.0367756	0.0172018	0.00811013	0.0207486	0.0939915	0.392211	0.145075	0.0934961	0.187324	0.0879029	0.586445	0.84923	1.0773	1.48702	0.0275747	0.443045	0.25266	0.276719	3.8549
20	-31108.1	-31060.1	-47.9684	1.24736	0.0432664	0.0634896	0.342801	0.160626	0.303351	0.124054	0.170493	0.183548	0.0381494	0.0338483	0.150608	0.0676215	0.0487676	0.281633	0.0175614	0.192025	0.0432355	0.375035	0.0308694	0.0407608	0.311883	0.0978626	0.390836	0.0163028	0.0962631	0.0228474	0.192181	0.169624	0.0246491	0.0532118	0.258908	0.00714502	0.0025681	0.0150746	0.00541838	0.00983014	0.464106	0.00562491	0.004846	0.0644988	0.00634814	0.0213237	0.00459879	0.0294128	0.0103943	0.0960444	0.00655185	0.0633243	0.047966	0.0153264	0.0135359	0.141679	0.00572838	0.00134497	0.117988	0.011515	0.00619047	0.00289711	0.0110125	0.0939915	0.392211	0.145075	0.0934961	0.187324	0.0879029	0.183531	0.540283	1.03136	2.24483	0.128092	0.351472	0.213904	0.306532	5.53861
30	-29392.4	-29333.6	-58.7794	0.303488	0.0431799	0.070703	0.983686	0.17492	0.303486	0.11998	0.0930007	0.204225	0.0147945	0.028053	0.137288	0.0519647	0.0414331	0.388309	0.0206693	0.237882	0.0381702	0.736413	0.00674169	0.0433448	0.395984	0.0932585	0.392708	0.0144664	0.0849126	0.0210527	0.169872	0.1605	0.0133827	0.0472954	0.352911	0.0119243	0.000906026	0.0113747	0.00190115	0.00540089	0.387114	0.00350929	0.00401265	0.135212	0.00329956	0.0123335	0.00920022	0.0337824	0.0140613	0.0743684	0.00742363	0.0697508	0.0359411	0.0173762	0.0294415	0.158859	0.00626881	0.00324424	0.0848817	0.00560137	0.00551355	0.00153217	0.00560558	0.0778977	0.325054	0.120234	0.077487	0.175977	0.22335	0.00558249	0.107211	0.601614	3.28559	0.206435	0.322573	0.196316	0.274675	6.62443
40	-28549.3	-28443	-106.323	0.277715	0.0488198	0.0619931	1.71966	0.237929	0.390848	0.131659	0.190629	0.227609	0.00882677	0.0415786	0.0896928	0.0730897	0.0293906	0.646959	0.0194641	0.243936	0.0299481	1.77107	0.00806683	0.0645955	0.537696	0.0932585	1.01215	0.0172309	0.099218	0.0210201	0.221579	0.338006	0.0185893	0.0575837	1.01612	0.0252727	0.00301737	0.00623344	0.00119618	0.0034235	0.992115	0.00323766	0.00496059	0.0321629	0.00242503	0.00369905	0.0585711	0.0349367	0.022487	0.123335	0.00316943	0.0525618	0.02931	0.00765265	0.162325	0.168451	0.00671127	0.0046799	0.151492	0.000958661	0.00300441	0.00194315	0.00133123	0.0889102	0.384003	0.142039	0.0526334	0.214396	0.118018	0.00366209	0.0873136	0.556409	3.35262	0.136699	0.283288	0.241758	0.338255	11.3789
50	-28041	-27914.8	-126.155	0.240216	0.0280837	0.0703739	1.60317	0.169192	0.529522	0.193139	0.169934	0.229764	0.0199793	0.0398301	0.0606593	0.101932	0.0627247	0.670813	0.010233	0.34424	0.0466587	2.93278	0.00724889	0.0499925	0.547437	0.0911508	1.01215	0.0262667	0.0958862	0.0253912	0.184941	0.445848	0.0222414	0.0580801	1.31949	0.0196489	0.0285384	0.00518549	0.00151319	0.00266436	1.1628	0.00284396	0.00186372	0.00537313	0.00266045	0.00716154	0.0671923	0.0268469	0.0149451	0.214019	0.00254241	0.028833	0.08652	0.00367534	0.137458	0.213139	0.0119743	0.00340231	0.126477	0.00600495	0.00246452	0.00264536	0.00473096	0.091359	0.385555	0.142613	0.0467152	0.215263	0.118495	0.00168671	0.0597209	0.480394	3.4582	0.184904	0.26232	0.239558	0.313219	13.3623
60	-27756.9	-27635.4	-121.548	0.228779	0.0205413	0.0793279	1.69338	0.067046	0.480284	0.177794	0.0406941	0.333175	0.0177788	0.042203	0.026547	0.16942	0.0371886	0.763975	0.0191942	0.371298	0.0492628	2.30737	0.00711446	0.0346461	0.51552	0.102896	1.3316	0.0518014	0.0918373	0.014006	0.274802	0.387326	0.0222527	0.0656916	1.19265	0.0187183	0.0659681	0.00484076	0.0081416	0.00251071	1.24297	0.00453877	0.0057933	0.00796925	0.00363803	0.00341148	0.0394417	0.0103882	0.00727193	0.220837	0.00104391	0.0107189	0.0264141	0.0030018	0.137458	0.230968	0.00367393	0.00109857	0.0319717	0.00393225	0.00242989	0.00302848	0.0108325	0.0932725	0.38468	0.14229	0.0466092	0.214774	0.118374	0.0012657	0.0518519	0.454547	3.49234	0.184904	0.26232	0.239558	0.313219	12.9016
70	-27599.7	-27450.8	-148.93	0.230628	0.0195634	0.0853097	2.37093	0.0639637	0.491096	0.16662	0.0594867	0.373505	0.0244631	0.0411567	0.0307178	0.1479	0.0454161	0.731546	0.0174276	0.368807	0.0271908	3.30672	0.0152756	0.02846	0.51552	0.12419	1.78457	0.0407869	0.108055	0.0186021	0.222266	0.400977	0.0157392	0.0545425	1.88245	0.0148595	0.0573734	0.00973975	0.0165098	0.00565	1.08113	0.00628233	0.00684241	0.0126332	0.00333413	0.00487033	0.0325899	0.0100963	0.0083059	0.246826	0.00580109	0.00524811	0.0242211	0.00205588	0.196201	0.241208	0.00229252	0.000768654	0.018868	0.0038225	0.00500795	0.000529967	0.0335193	0.076837	0.32551	0.134019	0.0526432	0.283421	0.12757	0.00132843	0.0531019	0.458815	3.48675	0.188244	0.267058	0.243886	0.300812	15.6398
80	-27146.3	-27003.3	-143.039	0.230628	0.0329114	0.0828867	2.1203	0.0520884	0.129845	0.195919	0.0603845	0.5137	0.0204418	0.0568299	0.0232981	0.107897	0.0538509	0.751006	0.0124697	0.497388	0.0316959	3.29582	0.00927401	0.0186783	0.394093	0.138049	1.55317	0.0492827	0.109241	0.0207786	0.246656	0.371267	0.01152	0.0704204	1.51462	0.00998667	0.0533472	0.0108328	0.0466398	0.0051035	1.42301	0.00531878	0.00581643	0.0372805	0.00202737	0.00699449	0.0314511	0.00645395	0.00464916	0.267792	0.00671562	0.0035066	0.05165	0.000884201	0.124911	0.292215	0.0149711	0.000456945	0.0316869	0.00397386	0.0128065	0.000368579	0.0440894	0.080753	0.294988	0.140849	0.0553262	0.294012	0.134072	0.00132843	0.0531019	0.458815	3.48675	0.196072	0.236579	0.254028	0.313322	15.0507
90	-26784	-26645.1	-138.922	0.230628	0.0339216	0.0884875	2.15019	0.0357172	0.0764513	0.22507	0.0595423	0.397665	0.0228861	0.0576909	0.0314126	0.107061	0.0470993	0.875241	0.0173494	0.417043	0.0361126	3.32487	0.00689495	0.0208348	0.378101	0.131277	1.63364	0.0497461	0.135597	0.0240198	0.281553	0.0832624	0.0122037	0.066416	1.40723	0.005016	0.0881129	0.0169626	0.108341	0.0123455	1.36896	0.00218342	0.00657366	0.0124787	0.00274683	0.0107993	0.0479006	0.0103788	0.0035735	0.258426	0.015378	0.00547696	0.0508035	0.00239493	0.0688394	0.173461	0.0640749	0.000449799	0.00319621	0.00432613	0.0177238	0.000657622	0.042905	0.0810861	0.296205	0.141381	0.0555544	0.311094	0.114679	0.00132843	0.0531019	0.458815	3.48675	0.196072	0.236579	0.254028	0.313322	14.6391
