amphipod	host	source	paper
Hyperoche medusarum	Chromatonema erythrogonon	GascaHaddock2004	GascaHaddock2004
Vibilia australis	Cyclosalpa bakeri	GascaHaddock2004	GascaHaddock2004
Brachyscelus crusculum	Pterotrachea hippocampus	GascaHaddock2004	GascaHaddock2004
Brachyscelus crusculum	Aequorea coerulescens	GascaHaddock2004	GascaHaddock2004
Euthamneus rostratus	Pelagia noctiluca	GascaHaddock2004	GascaHaddock2004
Euthamneus rostratus	Aequorea coerulescenns	GascaHaddock2004	GascaHaddock2004
Oxycephalus clausi	Ocyropsis crystallina	GascaHaddock2004	GascaHaddock2004
Parascelus typhoides	Athorybia rosacea	GascaHaddock2004	GascaHaddock2004
Lanceola sayana	Pelagia noctiluca	Chevreux1900	Laval1980
Scina marginata	Hippopodius hippopus	Chun1889	Laval1980
Vibilia jeangerardi	Salpa maxima	Marion1874	Laval1980
Vibilia robusta	Tethys vagina	Behning1927	Laval1980
Vibilia armata	Thalia democratica	Laval1963	Laval1980
Vibilia armata	Salpa fusiformis	Laval1963	Laval1980
Vibilia armata	Ihlea punctata	Laval1963	Laval1980
Vibilia propinqua	Thalia democratica	Laval1963	Laval1980
Vibilia propinqua	Salpa fusiformis	Laval1963	Laval1980
Vibilia propinqua	Ihlea punctata	Laval1963	Laval1980
Vibilia viatrix	Pegea socia	MadinHarbison1977	Laval1980
Vibilia viatrix	Pegea confoederata	MadinHarbison1977	Laval1980
Vibilia viatrix	Salpa maxima	MadinHarbison1977	Laval1980
Vibilia viatrix	Salpa cylindrica	MadinHarbison1977	Laval1980
Vibilia propinqua	Pegea confoederata	MadinHarbison1977	Laval1980
Vibilia propinqua	Salpa cylindrica	MadinHarbison1977	Laval1980
Vibilia propinqua	Salpa maxima	MadinHarbison1977	Laval1980
Vibilia pyripes	Iasis zonaria	MadinHarbison1977	Laval1980
Vibilia stebbingi	Salpa fusiformis	MadinHarbison1977	Laval1980
Vibilia stebbingi	Salpa maxima	MadinHarbison1977	Laval1980
Vibilia stebbingi	Cyclosalpa polae	MadinHarbison1977	Laval1980
Vibilia chuni	Salpa maxima	MadinHarbison1977	Laval1980
Vibilia chuni	Cyclosalpa polae	MadinHarbison1977	Laval1980
Vibilia kroyeri	Salpa maxima	MadinHarbison1977	Laval1980
Paraphronima crassipes	Rosacea cymbiformis	Harbisonetal1977	Laval1980
Hyperoche mediterranea	Beroe forskali	Krumbach1911	Laval1980
Hyperoche medusarum	Aurelia aurita	Schellenberg1942	Laval1980
Hyperoche medusarum	Beroe forskali	Stephensen1923	Laval1980
Hyperoche medusarum	Tima formosa	Bowmanetal1963	Laval1980
Hyperoche medusarum	Pleurobrachia bachei	Brusca1970	Laval1980
Hyperoche medusarum	Pleurobrachia pileus	EvansSheader1972	Laval1980
Hyperoche kroyeri	Beroe cucumis	Sheader1973	Laval1980
Hyperoche kroyeri	Pleurobrachia pileus	Sheader1973	Laval1980
Hyperoche mediterranea	Pleurobrachia bachei	FloresBrusca1975	Laval1980
Hyperoche mediterranea	Beroe cucumis	Harbisonetal1977	Laval1980
Hyperoche mediterranea	Leucothea multicornis	Harbisonetal1978	Laval1980
Hyperoche mediterranea	Ocyropsis maculata	Harbisonetal1978	Laval1980
Hyperoche picta	Cestum veneris	Harbisonetal1978	Laval1980
Lestrigonus schizogeneios	Lampea pancerina	Alvarado1955	Laval1980
Lestrigonus schizogeneios	Liriope tetraphylla	Laval1972	Laval1980
Lestrigonus schizogeneios	Clytia hemispherica	Laval1968a	Laval1980
Lestrigonus bengalensis	Eirene pyramidalis	Harbisonetal1977	Laval1980
Lestrigonus crucipes	Pelagia noctiluca	Harbisonetal1977	Laval1980
