Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	br_lens[78]	br_lens[79]	br_lens[80]	br_lens[81]	br_lens[82]	br_lens[83]	br_lens[84]	br_lens[85]	br_lens[86]	br_lens[87]	br_lens[88]	br_lens[89]	br_lens[90]	br_lens[91]	br_lens[92]	br_lens[93]	br_lens[94]	br_lens[95]	br_lens[96]	br_lens[97]	br_lens[98]	br_lens[99]	br_lens[100]	br_lens[101]	br_lens[102]	br_lens[103]	br_lens[104]	br_lens[105]	br_lens[106]	br_lens[107]	br_lens[108]	br_lens[109]	br_lens[110]	br_lens[111]	br_lens[112]	br_lens[113]	br_lens[114]	br_lens[115]	br_lens[116]	br_lens[117]	br_lens[118]	br_lens[119]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-67402.6	-67217	-185.671	7.15692	0.0433162	0.0499331	0.129832	0.0251956	0.0426685	0.128778	0.144677	0.0321247	0.00375854	0.227477	0.0725327	0.181445	0.23359	0.000827907	0.0332507	0.0561921	0.0450569	0.105035	0.535552	0.00563793	0.0136002	0.0351354	0.143612	0.0781457	0.212793	0.0153659	0.450403	0.038762	0.0918449	0.0165566	0.00774068	0.0401069	0.0288449	0.0328138	0.0342548	0.0978507	0.0486384	0.261108	0.124784	0.64045	0.0138477	0.0506847	0.24177	0.0829558	0.0675503	0.0184217	0.0554172	0.0678736	0.406005	0.177552	0.168353	0.1051	0.0236063	0.122478	0.0768325	0.0570897	0.0964378	0.142173	0.00972141	0.59202	0.178545	0.0077924	0.0683686	0.0118737	0.047322	0.00740136	0.00855295	0.00305545	0.101221	0.0791793	0.0405383	0.150892	0.0282978	0.191023	0.0494756	0.206633	0.0130828	0.266931	0.0350718	0.0675959	0.137162	0.157014	0.0326982	0.124283	0.02722	0.0802748	0.000168809	0.135561	0.0203903	0.0499308	0.0307447	0.10493	0.21313	0.0561842	0.000869846	0.0398766	0.238806	0.0235205	0.0233077	0.055659	0.0200471	0.0920701	0.112657	0.0131096	0.0475422	0.097175	0.0728799	0.135661	0.00253596	0.178792	0.116496	0.139592	0.040902	0.123078	0.0579125	0.399039	0.297052	0.0857258	0.0802028	0.227179	0.197207	0.024352	0.448666	0.0668808	0.0357152	0.572724	0.842303	1.07859	1.50638	0.434983	0.258005	0.252271	0.0547405	12.3126
10	-44758.8	-44577.1	-181.755	0.859664	0.0114771	0.00886117	0.0152535	0.066282	0.28797	0.0505562	0.178127	0.165879	0.0132293	0.898933	0.0201507	0.572525	0.417667	0.00230905	0.0159445	0.103877	0.1628	0.0258754	0.148871	0.0167079	0.0273338	0.10116	0.1764	0.127288	0.368271	0.0272983	0.131426	0.0543445	0.0702966	0.0244717	0.0094709	0.108041	0.244773	0.0572848	0.021206	0.156932	0.136624	0.284494	0.114106	0.226052	0.101144	0.0840968	0.0851127	0.156173	0.178681	0.043521	0.0672731	0.0249532	0.316956	0.0819286	0.20216	0.0685624	0.0773037	0.672619	0.0440906	0.0359778	0.175389	0.391941	0.126035	0.296945	0.0538186	0.00595733	0.0810224	0.0011006	0.106793	0.0417672	0.00559526	0.00419246	0.0236877	0.0447209	0.023049	0.0284843	0.0125024	0.160733	0.0214607	0.0386892	0.02741	0.0594135	0.0132888	0.0358521	0.121586	0.0747778	0.00804596	0.0883227	0.00849508	0.0146253	0.000556247	0.0139558	0.0200622	0.11832	0.0460829	0.0554496	0.167338	0.0257152	0.00119678	0.040697	0.0329629	0.0140528	0.167274	0.034208	0.0124793	0.0311159	0.0445191	0.053284	0.158584	0.262144	0.0325043	0.0371325	0.0025143	0.0666032	0.0720602	0.0876797	0.0129016	0.0264605	0.0235638	0.107709	0.179874	0.0109356	0.00575547	0.158046	0.0828192	0.0255944	0.201381	0.501556	0.0306034	0.108177	0.43009	0.972208	2.48952	0.313322	0.115218	0.376465	0.194996	11.9525
20	-40106.8	-39857.9	-248.901	0.366037	0.00924471	0.00612988	0.0168503	0.0842939	0.605579	0.0271133	0.223026	0.278194	0.0449109	1.42082	0.00910088	0.752322	0.469017	0.00693519	0.00688979	0.155322	0.513559	0.00579093	0.30285	0.0582811	0.0867512	0.514081	0.452051	0.104876	0.447532	0.087377	0.0644874	0.0895652	0.0533527	0.0177642	0.0171528	0.137078	0.35824	0.0962337	0.00284772	0.204381	0.22199	0.39395	0.023085	0.127266	0.451111	0.0997458	0.0591709	3.02805	0.270091	0.0189072	0.0525133	0.0302839	0.176512	0.0374945	0.306477	0.00822745	0.098185	1.41021	0.0225329	0.0231852	0.217046	0.552996	0.418423	0.150985	0.0440742	0.00542555	0.0531464	0.00570992	0.043448	0.192053	0.0045763	0.000844492	0.0100549	0.00554389	0.0049138	0.0374739	0.000721003	0.177416	0.0050416	0.007855	0.00756789	0.0325993	0.00530552	0.00801674	0.0159428	0.0512487	0.00349248	0.0245626	0.0232729	0.00340774	0.000698626	0.00611336	0.00587334	0.0927806	0.25652	0.0294411	0.0771548	0.0259392	0.00360644	0.0240555	0.0155105	0.0109251	0.226299	0.00552681	0.0260183	0.0243233	0.0271475	0.283081	0.194084	0.26809	0.0406594	0.0163145	0.00178793	0.0242368	0.0678333	0.018928	0.00819177	0.0112774	0.0058318	0.0493547	0.102507	0.0116593	0.00559727	0.168993	0.0962273	0.0410868	0.112085	0.536297	0.0453113	0.012135	0.155969	0.691749	3.14015	0.299427	0.154456	0.359769	0.186348	18.6695
30	-37976.8	-37626.9	-349.977	0.331485	0.00482671	0.0102569	0.00498425	0.100309	4.64586	0.0100458	0.223026	0.278194	0.109872	3.05768	0.0127127	2.46555	0.67015	0.0125126	0.00992231	0.107375	0.586922	0.00499346	0.0297666	0.415186	0.176762	0.707542	0.568464	0.140973	0.663753	0.0705051	0.0324983	0.113511	0.0354703	0.00990972	0.0337345	0.137078	0.477206	0.0404326	0.00386778	0.278572	0.236161	0.610457	0.011281	0.0762062	0.665319	0.107634	0.0656711	3.44787	0.272584	0.010861	0.0498023	0.0164831	0.0295009	0.0110778	0.334862	0.00325525	0.0871529	1.63367	0.0188032	0.0392162	0.29819	0.793599	0.464406	0.0244129	0.0521543	0.00465779	0.0718341	0.00305582	0.0371535	0.357636	0.00502605	0.00256316	0.00264534	0.00215229	0.0020792	0.0332384	0.000348672	0.337976	0.0048556	0.0114891	0.00501599	0.0357429	0.00554621	0.00257888	0.00872776	0.04151	0.00507919	0.00760043	0.0994742	0.00289768	0.000214661	0.0049224	0.00566254	0.0183376	0.671831	0.00946317	0.0224648	0.0140209	0.00128915	0.154447	0.00906791	0.00657818	0.0950769	0.00536272	0.00335678	0.00396606	0.00643369	0.418386	0.142432	0.185974	0.054846	0.00734396	0.00169965	0.0107385	0.131395	0.0022474	0.0108618	0.00855532	0.000886254	0.0124793	0.0263371	0.00286915	0.0258013	0.129814	0.0739178	0.0375933	0.0860988	0.63777	0.0348063	0.00819349	0.129107	0.645079	3.21762	0.313813	0.161877	0.329008	0.195302	28.7773
40	-36988.9	-36603.7	-385.168	0.3077	0.00589204	0.00580131	0.00608622	0.0790702	4.96628	0.00963742	0.201709	0.301286	0.224475	2.92814	0.00740148	2.55767	0.750605	0.0118371	0.0115334	0.129902	0.663389	0.00562935	0.0113048	0.594473	0.242751	0.711085	0.690436	0.0910392	0.739623	0.00844968	0.016161	0.0817818	0.0136629	0.0122552	0.0281783	0.130006	0.96992	0.0111943	0.00491559	0.231754	0.245916	0.660064	0.0201119	0.0412062	0.839696	0.101224	0.0568643	4.68881	0.453032	0.0156262	0.063301	0.0162421	0.00719023	0.00465077	0.369509	0.00544782	0.078961	1.63367	0.017668	0.0307297	0.314589	1.29685	0.550866	0.0100273	0.0722788	0.00753772	0.0664739	0.00340177	0.0584556	0.52775	0.00284504	0.000584638	0.00281767	0.00102132	0.00120298	0.0109807	0.00204694	0.155692	0.00434801	0.0168369	0.00141566	0.0119232	0.00439109	0.00110284	0.00243166	0.026427	0.00501498	0.00449154	0.0347993	0.00158802	0.000129883	0.00410293	0.00186273	0.00683893	0.676126	0.00553541	0.010193	0.0114892	0.000111926	0.279339	0.00912878	0.00312553	0.0370582	0.00111897	0.00315651	0.00693913	0.00390875	0.347326	0.190249	0.175007	0.0290728	0.0132966	0.000503061	0.00226579	0.301801	0.000739217	0.00459428	0.00591178	0.00189357	0.00563044	0.00814522	0.000601086	0.143905	0.113156	0.128325	0.0649707	0.0750506	0.555932	0.0625664	0.00594072	0.110497	0.608511	3.27505	0.262297	0.20347	0.313353	0.22088	32.2966
50	-36172.3	-35774.3	-398.067	0.311228	0.00433778	0.00585172	0.0035566	0.0518998	6.18971	0.00409732	0.15792	0.385563	0.296659	2.79531	0.0118484	2.85813	0.718499	0.0319419	0.010324	0.137116	0.702028	0.0075402	0.00944674	0.657742	0.256301	0.751246	0.68413	0.0207613	0.783877	0.00366645	0.014242	0.0253433	0.0576532	0.00205846	0.0441252	0.15084	1.02801	0.00370085	0.0068905	0.320805	0.244279	0.666852	0.0206477	0.0301455	0.901808	0.124489	0.0643193	3.91506	0.510571	0.0193573	0.064724	0.0154064	0.00357718	0.00595731	0.362545	0.00395345	0.073703	1.88748	0.0251634	0.0246176	0.312928	1.29685	0.65546	0.00727709	0.056329	0.00443808	0.0306668	0.00143261	0.0754542	0.571454	0.00255413	0.000746076	0.000899074	0.00087617	0.000829929	0.00244109	0.00507598	0.145776	0.00559362	0.0095688	0.00336835	0.00909637	0.00648559	0.000767927	0.0042892	0.0172552	0.00658176	0.001861	0.0347993	0.00148992	0.000343567	0.00409531	0.000479914	0.00139103	0.845772	0.00781897	0.00264626	0.010179	0.000816635	0.141305	0.00466244	0.000691994	0.0334984	0.00201775	0.0049932	0.00578163	0.00204088	0.297302	0.283963	0.130816	0.0373363	0.022986	0.000885955	0.00333503	0.208437	0.00137375	0.00708851	0.00838178	0.00288202	0.00448111	0.00337531	0.000508973	0.0742609	0.0885019	0.183955	0.0846505	0.0514714	0.530088	0.0613338	0.00625018	0.113253	0.614185	3.26631	0.256284	0.205129	0.315907	0.22268	33.5864
60	-35129.9	-34682.6	-447.323	0.295398	0.00724945	0.00733756	0.00748249	0.151489	6.86754	0.00544791	0.0439643	0.517591	1.11471	3.59971	0.0231715	2.63708	0.696068	0.0227898	0.00693824	0.157217	0.285915	0.00545368	0.011694	0.657742	0.287813	1.2789	0.645469	0.00886114	0.840366	0.00448132	0.0389563	0.036579	0.112574	0.00149456	0.0459251	0.165441	1.3123	0.0055464	0.00708239	0.289988	0.233116	0.736432	0.0141005	0.0500746	0.901808	0.118111	0.081979	4.99881	0.349532	0.00864547	0.0679359	0.0240801	0.00356919	0.00374638	0.465647	0.0019506	0.0701231	2.35211	0.0191912	0.0308675	0.389207	1.41133	0.477718	0.00681182	0.0816793	0.00635834	0.0399577	0.00132085	0.0987502	0.719037	0.00481173	0.000341591	0.000288015	0.000277037	0.00203177	0.00471923	0.0128124	0.438186	0.00422199	0.0118501	0.00516108	0.0470456	0.0123776	0.000538861	0.00655018	0.0120677	0.00251607	0.00315861	0.0866197	0.00286938	0.000503807	0.00701787	0.000287555	0.00058417	0.931215	0.00155958	0.0025086	0.00495241	0.00189682	0.036078	0.00108919	0.00111789	0.0534086	0.00567469	0.00473843	0.00263169	0.00240515	0.204828	0.422069	0.181678	0.134354	0.022055	0.00239078	0.00594363	0.117903	0.00281423	0.00599521	0.0059432	0.0016287	0.00120812	0.00144014	0.000140549	0.0132467	0.0885019	0.183955	0.0846505	0.0514714	0.530088	0.0613338	0.00492943	0.10092	0.587993	3.30616	0.24794	0.231007	0.305622	0.21543	38.5121
70	-34309.5	-33898.8	-410.749	0.294661	0.00448714	0.00579095	0.00451698	0.118153	6.25583	0.00404843	0.0211824	0.0757895	0.985609	2.92942	0.00858573	2.63708	0.917313	0.0123662	0.0104644	0.170638	0.081814	0.00701701	0.0120255	0.73909	0.271668	1.20087	0.923272	0.00277904	0.840366	0.00266277	0.0313406	0.0671667	0.0596591	0.00594513	0.0465152	0.157524	1.3123	0.00525429	0.00378572	0.286168	0.297859	0.679184	0.00282315	0.0282009	0.903853	0.126308	0.0716336	3.99428	0.287161	0.0106551	0.0428329	0.0195534	0.00272471	0.00580539	0.390327	0.00789742	0.0598242	1.98475	0.0290263	0.0088241	0.359795	1.4002	0.0241614	0.00337029	0.0764252	0.00319721	0.0254455	0.00148559	0.0512444	0.719037	0.00109784	0.000594193	0.00019417	0.00122828	0.00100004	0.0131878	0.0493028	0.506059	0.00167695	0.00862613	0.00607647	0.0410768	0.00538123	0.0018694	0.00967277	0.00559259	0.00400162	0.00126737	0.21975	0.00396346	0.000513336	0.00281208	0.00107071	0.000451574	0.931215	0.00161637	0.00391176	0.0108107	0.00263638	0.0113465	0.000691144	0.000373623	0.025406	0.00311524	0.00555797	0.00283031	0.0013122	0.126343	0.259087	0.401674	0.0706631	0.00544462	0.00943007	0.0116257	0.217353	0.00194291	0.0064673	0.0111973	0.00154278	0.00259569	0.00358261	0.000127061	0.00191808	0.0871495	0.181144	0.0836366	0.0477253	0.521988	0.0783572	0.00487223	0.100349	0.586727	3.30805	0.242455	0.225897	0.298861	0.232788	34.8547
80	-33501.2	-33112.6	-388.651	0.293809	0.0058531	0.00416798	0.00384381	0.123015	6.16515	0.00343119	0.00690489	0.0744964	0.775818	3.28641	0.0088956	2.14502	0.80736	0.00424226	0.0104226	0.167149	0.0854486	0.00524215	0.0135666	0.858612	0.293426	1.06202	0.787189	0.00560408	0.90533	0.00210155	0.0303749	0.0341053	0.0768594	0.00492168	0.0412159	0.175016	1.13454	0.0014231	0.00387268	0.308548	0.300641	0.230952	0.00300462	0.0149583	0.85874	0.121586	0.0760276	4.55473	0.243947	0.00359838	0.0524461	0.0104912	0.00634704	0.00614529	0.404564	0.00345341	0.0769739	2.00899	0.0251204	0.00862597	0.357456	1.22368	0.0125294	0.00622241	0.0708942	0.00476027	0.0354687	0.00111904	0.053956	0.58275	0.00143588	0.000514591	0.000394788	0.000642417	0.00102363	0.00780598	0.057104	0.422209	0.00172362	0.0088962	0.00445343	0.0190426	0.00292612	0.00562836	0.0264194	0.009728	0.0035314	0.000705315	0.170469	0.00116744	0.000560647	0.00377337	0.00259329	0.000222344	0.169708	0.000847522	0.00450542	0.0152709	0.00434759	0.00368555	0.00183928	0.00209229	0.0215435	0.000972715	0.00543792	0.0015033	0.0034701	0.0724042	0.0718693	0.47449	0.088843	0.00180284	0.00778402	0.0120608	0.12285	0.00251618	0.00169466	0.00797365	0.00431083	0.00298803	0.00211648	0.000131621	0.00108502	0.084864	0.217552	0.0814432	0.0464736	0.494966	0.074701	0.00480655	0.0996881	0.585257	3.31025	0.243424	0.225608	0.298478	0.23249	32.6449
90	-33406.3	-33067.5	-338.847	0.292321	0.00791819	0.010509	0.00430273	0.10571	4.44746	0.00881345	0.00147611	0.0805321	1.01226	2.75066	0.00574043	2.11185	0.686253	0.00546305	0.0101288	0.133777	0.097214	0.00394791	0.0135666	0.646444	0.257359	1.06976	0.674892	0.00394611	0.720353	0.0019468	0.0370065	0.0292294	0.0783078	0.00542078	0.0415534	0.121283	0.877327	0.000610895	0.00540441	0.211195	0.168784	0.299918	0.00188592	0.0262917	0.692339	0.112121	0.0823527	3.96099	0.262043	0.00405252	0.0568292	0.0108871	0.00405151	0.00375933	0.314148	0.00247307	0.0965372	1.62402	0.0136721	0.0204739	0.325525	1.02784	0.0109189	0.00365005	0.0791438	0.00741438	0.0440313	0.00186668	0.0516457	0.497852	0.00122128	0.000660607	0.000127129	0.00126138	0.00326575	0.0197356	0.0569022	0.322673	0.00208862	0.00224783	0.00571472	0.0115888	0.00107698	0.0165823	0.0720037	0.0133372	0.00141482	0.00146422	0.160399	0.00407384	0.00184419	0.00415965	0.00400815	0.000590108	0.0902624	0.00269378	0.00241801	0.00987845	0.00212927	0.00278323	0.00183928	0.00258792	0.0479255	0.00249316	0.00458574	0.000518522	0.00629414	0.0464589	0.0228742	0.445423	0.0974079	0.00405828	0.0159036	0.00609876	0.0296079	0.00222838	0.000858041	0.0164647	0.00142072	0.00181437	0.000550007	0.000213579	0.00113047	0.0841638	0.215757	0.0807712	0.0543409	0.490882	0.0740846	0.00469312	0.0985362	0.582679	3.31409	0.243201	0.225262	0.298021	0.233516	27.6645
