Species ID,Order,Family,Genus,Species,Genus.species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria
56054,ANURA,HYPEROLIIDAE,Acanthixalus,sonjae,Acanthixalus.sonjae,"Rödel, Kosuch, Veith & Ernst, 2003",,Ivory Coast Wart Frog,NT,
56055,ANURA,HYPEROLIIDAE,Acanthixalus,spinosus,Acanthixalus.spinosus,"(Buchholz & Peters, 1875)",,,LC,
55286,ANURA,HYLIDAE,Acris,crepitans,Acris.crepitans,"Baird, 1854",,Northern Cricket Frog,LC,
55287,ANURA,HYLIDAE,Acris,gryllus,Acris.gryllus,"(Le Conte, 1825)",,Southern Cricket Frog,LC,
57660,ANURA,MICROHYLIDAE,Adelastes,hylonomos,Adelastes.hylonomos,"Zweifel, 1986",Adelastes hylonomus  |Adelastes hylonomus  ,,DD,
56299,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,adiastola,Adelophryne.adiastola,"Hoogmoed and Lescure, 1984",,,LC,
56300,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,baturitensis,Adelophryne.baturitensis,"Hoogmoed, Borges & Cascon, 1994",,,VU,B1ab(iii)
56301,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,gutturosa,Adelophryne.gutturosa,"Hoogmoed & Lescure, 1984",,Guiana Shield Frog,LC,
56302,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,maranguapensis,Adelophryne.maranguapensis,"Hoogmoed, Borges & Cascon, 1994",,,EN,B1ab(iii)
56303,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,pachydactyla,Adelophryne.pachydactyla,"Hoogmoed, Borges & Cascon, 1994",,,DD,
158609,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,patamona,Adelophryne.patamona,"MacCulloch, Lathrop, Kok, Minter, Khan & Barrio-Amorós, 2008",,,DD,
520,ANURA,LIMNODYNASTIDAE,Adelotus,brevis,Adelotus.brevis,"(Günther, 1863)",,Tusked Frog,NT,
55179,ANURA,DENDROBATIDAE,Adelphobates,castaneoticus,Adelphobates.castaneoticus,"(Caldwell & Myers, 1990)",Dendrobates castaneoticus  ,,LC,
55185,ANURA,DENDROBATIDAE,Adelphobates,galactonotus,Adelphobates.galactonotus,"(Steindachner, 1864)",Dendrobates galactonotus  |Dendrobates galactonotus  ,,LC,
55197,ANURA,DENDROBATIDAE,Adelphobates,quinquevittatus,Adelphobates.quinquevittatus,"(Steindachner, 1864)",Dendrobates quinquevittatus  ,,LC,
158471,ANURA,LEPTODACTYLIDAE,Adenomera,ajurauna,Adenomera.ajurauna,"(Berneck, Costa & Garcia, 2008) ",Leptodactylus ajurauna,,DD,
56304,ANURA,LEPTODACTYLIDAE,Adenomera,andreae,Adenomera.andreae,"(Müller, 1923)",Leptodactylus andreae,,LC,
56305,ANURA,LEPTODACTYLIDAE,Adenomera,araucaria,Adenomera.araucaria,"Kwet & Angulo, 2002",Leptodactylus araucaria,,LC,
56306,ANURA,LEPTODACTYLIDAE,Adenomera,bokermanni,Adenomera.bokermanni,"(Heyer, 1973)",Leptodactylus bokermanni,,LC,
164916,ANURA,LEPTODACTYLIDAE,Adenomera,coca,Adenomera.coca,"(Angulo & Reichle, 2008)",Leptodactylus coca,,DD,
56307,ANURA,LEPTODACTYLIDAE,Adenomera,diptyx,Adenomera.diptyx,"(Boettger, 1885)",Leptodactylus diptyx,,LC,
56308,ANURA,LEPTODACTYLIDAE,Adenomera,heyeri,Adenomera.heyeri,"Boistel, Massary & Angulo, 2006",Leptodactylus heyeri,,LC,
56309,ANURA,LEPTODACTYLIDAE,Adenomera,hylaedactyla,Adenomera.hylaedactyla,"(Cope, 1868)",Adenomera hylaedactyla  |Leptodactylus diptyx  |Leptodactylus glandulosus  |Leptodactylus hololius  |Leptodactylus hylaedactyla  |Leptodactylus hylaedactylus|Leptodactylus melini  |Leptodactylus minutus  |Leptodactylus poeppigi  ,,LC,
56310,ANURA,LEPTODACTYLIDAE,Adenomera,lutzi,Adenomera.lutzi,"Heyer, 1975",Leptodactylus lutzi,,DD,
56311,ANURA,LEPTODACTYLIDAE,Adenomera,marmorata,Adenomera.marmorata,"Steindachner, 1867",Leptodactylus marmorata  |Leptodactylus marmoratus,,LC,
56312,ANURA,LEPTODACTYLIDAE,Adenomera,martinezi,Adenomera.martinezi,"(Bokermann, 1956)",Leptodactylus martinezi,,LC,
136001,ANURA,LEPTODACTYLIDAE,Adenomera,nana,Adenomera.nana,"(Müller, 1922)",Adenomera marmorata  |Leptodactylus nanus,,LC,
136182,ANURA,LEPTODACTYLIDAE,Adenomera,thomei,Adenomera.thomei,"(Almeida & Angulo, 2006)",Leptodactylus thomei,,LC,
54457,ANURA,BUFONIDAE,Adenomus,dasi,Adenomus.dasi,"Manamendra-Arachchi and Pethiyagoda, 1998",,,CR,B1ab(iii)+2ab(iii)
54458,ANURA,BUFONIDAE,Adenomus,kandianus,Adenomus.kandianus,"(Günther, 1872)",,,CR,B1ab(iii)
54459,ANURA,BUFONIDAE,Adenomus,kelaartii,Adenomus.kelaartii,"(Günther, 1858)",Adenomus badioflavus  ,,EN,B1ab(iii)+2ab(iii)
2664,CAUDATA,HYNOBIIDAE,Afghanodon,mustersi,Afghanodon.mustersi,"(Smith, 1940)",Batrachuperus mustersi  |Paradactylodon mustersi,,CR,B2ab(iii)
596,ANURA,HYPEROLIIDAE,Afrixalus,aureus,Afrixalus.aureus,"Pickersgill, 1984",,Golden Banana Frog,LC,
56056,ANURA,HYPEROLIIDAE,Afrixalus,brachycnemis,Afrixalus.brachycnemis,"(Boulenger, 1896)",,Lesser Banana Frog,LC,
56057,ANURA,HYPEROLIIDAE,Afrixalus,clarkei,Afrixalus.clarkei,"Largen, 1974",Afrixalus clarkeorum,Clarke's Banana Frog,EN,B1ab(iii)
56058,ANURA,HYPEROLIIDAE,Afrixalus,crotalus,Afrixalus.crotalus,"Pickersgill, 1984",,,LC,
56059,ANURA,HYPEROLIIDAE,Afrixalus,delicatus,Afrixalus.delicatus,"Pickersgill, 1984",,Pickersgill's Banana Frog,LC,
56060,ANURA,HYPEROLIIDAE,Afrixalus,dorsalis,Afrixalus.dorsalis,"(Peters, 1875)",Hyperolius dorsalis  ,"Brown Banana Frog, Cameroon Banana Frog, Striped Spiny Reed Frog",LC,
136149,ANURA,HYPEROLIIDAE,Afrixalus,dorsimaculatus,Afrixalus.dorsimaculatus,"(Ahl, 1930)",Megalixalus dorsimaculatus,,VU,B1ab(iii)
56061,ANURA,HYPEROLIIDAE,Afrixalus,enseticola,Afrixalus.enseticola,"Largen, 1974",,Ethiopian Banana Frog,VU,B1ab(iii)
56062,ANURA,HYPEROLIIDAE,Afrixalus,equatorialis,Afrixalus.equatorialis,"(Laurent, 1941)",,Congo Banana Frog,LC,
56063,ANURA,HYPEROLIIDAE,Afrixalus,fornasini,Afrixalus.fornasini,"(Bianconi, 1849)",,,LC,
