Species ID,Genus,Species,genus_species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
136131,Calotriton,arnoldi,Calotriton_arnoldi,"Carranza and Amat, 2005",,,CR,"B2ab(iii,iv)",3.1,2009,decreasing,N
59448,Calotriton,asper,Calotriton_asper,"(Dugès, 1852)",Calotriton  punctulatus|Diemictylus  asper|Euproctus asper  |Euproctus  pyrenaeus|Hemitriton  asper |Hemitriton  bibronii|Hemitriton  cinereus |Hemitriton  punctulatus |Hemitriton  rugosus |Molge  aspera|Molge  bolivari|Triton  asper|Triton  bibroni|Triton  cinereus|Triton  pyrenaeus |Triton  repandus |Triton  rugosus,"Pyrenean Brook Salamander, Pyreneen Salamander, Pyrenean Mountain Salamander, Pyrenean Newt, Pyrenean Mountain Newt, Pyrenees Mountain Newt, Pyrenees Mountain Salamander ",NT,,3.1,2009,decreasing,N
4657,Chioglossa,lusitanica,Chioglossa_lusitanica,"Bocage, 1864",,Golden-striped Salamander,VU,"B2ab(ii,iii,iv)",3.1,2009,decreasing,N
59441,Cynops,ensicauda,Cynops_ensicauda,"(Hallowell, 1860)",,Sword-tailed Newt,EN,"B1ab(iii,v)",3.1,2004,decreasing,N
59444,Cynops,pyrrhogaster,Cynops_pyrrhogaster,"(Boie, 1826)",,Japanese Fire-bellied Newt,LC,,3.1,2004,stable,N
59446,Echinotriton,andersoni,Echinotriton_andersoni,"(Boulenger, 1892)",,Anderson's Crocodile Newt,EN,B1ab(iii),3.1,2004,decreasing,N
59447,Echinotriton,chinhaiensis,Echinotriton_chinhaiensis,"(Chang, 1932)",,Chinhai Spiny Newt,CR,"B1ab(iii,iv)+2ab(iii,iv)",3.1,2004,decreasing,N
59449,Euproctus,montanus,Euproctus_montanus,"(Savi, 1838)",,"Corsican Brook Salamander, Corsican Mountain Newt",LC,,3.1,2009,stable,N
8371,Euproctus,platycephalus,Euproctus_platycephalus,"(Gravenhorst, 1829)",,"Sardinian Brook Salamander, Sardinian Mountain Newt",EN,"B2ab(iii,iv)",3.1,2009,decreasing,N
59439,Hypselotriton,chenggongensis,Hypselotriton_chenggongensis,"Kou and Xing, 1983",Cynops chenggongensis,,DD,,3.1,2004,unknown,N
