Iteration	Posterior	Likelihood	Prior	alpha_morph_gr	br_morph_clock_mult[1]	br_morph_clock_mult[2]	br_morph_clock_mult[3]	br_morph_clock_mult[4]	br_morph_clock_mult[5]	br_morph_clock_mult[6]	br_morph_clock_mult[7]	br_morph_clock_mult[8]	br_morph_clock_mult[9]	br_morph_clock_mult[10]	br_morph_clock_mult[11]	br_morph_clock_mult[12]	br_morph_clock_mult[13]	br_morph_clock_mult[14]	br_morph_clock_mult[15]	br_morph_clock_mult[16]	br_morph_clock_mult[17]	br_morph_clock_mult[18]	br_morph_clock_mult[19]	br_morph_clock_mult[20]	br_morph_clock_mult[21]	br_morph_clock_mult[22]	br_morph_clock_mult[23]	br_morph_clock_mult[24]	br_morph_clock_mult[25]	br_morph_clock_mult[26]	br_morph_clock_mult[27]	br_morph_clock_mult[28]	br_morph_clock_mult[29]	br_morph_clock_mult[30]	br_morph_clock_mult[31]	br_morph_clock_mult[32]	br_morph_clock_mult[33]	br_morph_clock_mult[34]	br_morph_clock_mult[35]	br_morph_clock_mult[36]	br_morph_clock_mult[37]	br_morph_clock_mult[38]	br_morph_clock_mult[39]	br_morph_clock_mult[40]	br_morph_clock_mult[41]	br_morph_clock_mult[42]	br_morph_clock_mult[43]	br_morph_clock_mult[44]	br_morph_clock_mult[45]	br_morph_clock_mult[46]	br_morph_clock_mult[47]	br_morph_clock_mult[48]	br_morph_clock_mult[49]	br_morph_clock_mult[50]	br_morph_clock_mult[51]	br_morph_clock_mult[52]	br_morph_clock_mult[53]	br_morph_clock_mult[54]	br_morph_clock_mult[55]	br_morph_clock_mult[56]	br_morph_clock_mult[57]	br_morph_clock_mult[58]	br_morph_clock_mult[59]	br_morph_clock_mult[60]	br_morph_clock_mult[61]	br_morph_clock_mult[62]	br_morph_clock_mult[63]	br_morph_clock_mult[64]	br_morph_clock_mult[65]	br_morph_clock_mult[66]	br_morph_clock_mult[67]	br_morph_clock_mult[68]	br_morph_clock_mult[69]	br_morph_clock_mult[70]	br_morph_clock_mult[71]	br_morph_clock_mult[72]	br_morph_clock_mult[73]	br_morph_clock_mult[74]	clock_morph[1]	clock_morph[2]	clock_morph[3]	clock_morph[4]	clock_morph_base	clock_morph_mult[1]	clock_morph_mult[2]	clock_morph_mult[3]	clock_morph_mult[4]	gr_morph[1]	gr_morph[2]	gr_morph[3]	gr_morph[4]	igr_alpha_morph	rate_categories_morph[1]	rate_categories_morph[2]	rate_categories_morph[3]	rate_categories_morph[4]	rate_categories_morph[5]	rate_categories_morph[6]	rate_categories_morph[7]	rate_categories_morph[8]	rate_categories_morph[9]	rate_categories_morph[10]	rate_categories_morph[11]	rate_categories_morph[12]	rate_categories_morph[13]	rate_categories_morph[14]	rate_categories_morph[15]	rate_categories_morph[16]
0	-1706.45	-1704.72	-1.72775	3.88899	0.042761	2.00584	0.0157548	0.137824	1.16994	2.78845	0.29603	0.0831728	1.16994	0.0831728	2.00584	0.907957	0.702568	2.00584	0.907957	0.29603	1.51666	2.78845	0.537996	2.00584	2.78845	4.57586	0.0831728	0.702568	4.57586	1.16994	1.16994	2.78845	2.78845	4.57586	1.51666	0.907957	2.78845	0.042761	0.208094	0.907957	2.00584	2.78845	0.29603	0.29603	0.702568	1.51666	0.29603	1.51666	2.78845	2.78845	0.404579	1.51666	0.702568	2.78845	2.00584	1.51666	1.16994	2.78845	1.51666	2.78845	2.00584	2.00584	0.702568	1.51666	2.78845	2.00584	1.51666	2.00584	0.00186774	4.57586	2.78845	0.29603	2.00584	1.16994	2.78845	1.51666	4.57586	1.51666	0.190247	0.190247	0.38994	0.116658	0.190247	1	1	2.04965	0.613194	0.448158	0.771281	1.0844	1.69616	0.516339	0.00186774	0.0157548	0.042761	0.0831728	0.137824	0.208094	0.29603	0.404579	0.537996	0.702568	0.907957	1.16994	1.51666	2.00584	2.78845	4.57586
10	-1703.29	-1699.6	-3.69008	3.88899	0.0836109	1.52577	0.150203	0.495796	1.87884	3.58423	0.150203	0.495796	1.26344	0.223971	2.41774	0.495796	0.73579	2.41774	1.05509	0.608248	1.52577	2.41774	0.882619	1.52577	3.58423	2.41774	0.223971	1.52577	3.58423	2.41774	1.05509	2.41774	1.87884	1.87884	1.52577	1.05509	2.41774	0.223971	0.305418	1.52577	2.41774	1.87884	0.395538	0.73579	1.05509	1.26344	0.608248	1.52577	1.87884	3.58423	0.608248	1.87884	0.73579	2.41774	1.87884	1.87884	1.87884	2.41774	1.87884	1.87884	1.87884	1.87884	0.608248	2.41774	3.58423	1.87884	1.87884	1.87884	0.305418	3.58423	1.87884	0.395538	2.41774	0.882619	1.26344	1.87884	1.26344	2.41774	0.289627	0.289627	0.536824	0.429268	0.289627	1	1	1.8535	1.48214	0.448158	0.771281	1.0844	1.69616	0.921241	0.024671	0.0836109	0.150203	0.223971	0.305418	0.395538	0.495796	0.608248	0.73579	0.882619	1.05509	1.26344	1.52577	1.87884	2.41774	3.58423
20	-1704.36	-1702.39	-1.97725	3.88899	0.0957675	1.27276	0.293074	0.857437	2.09574	2.09574	0.379977	0.649453	1.46713	0.556011	2.09574	1.72081	0.857437	1.27276	0.977424	0.857437	1.72081	2.09574	1.11355	1.11355	1.72081	1.46713	0.0957675	2.09574	2.87568	1.46713	1.27276	2.87568	1.46713	1.46713	1.72081	1.46713	2.09574	0.749145	0.749145	1.46713	2.87568	0.977424	0.649453	1.11355	1.11355	1.46713	0.857437	2.09574	2.87568	1.72081	0.749145	1.27276	0.977424	2.09574	1.46713	2.09574	0.857437	2.09574	2.09574	1.46713	1.72081	1.72081	0.857437	2.09574	2.87568	1.27276	2.09574	2.87568	0.202167	1.72081	1.46713	0.749145	1.72081	1.27276	1.27276	1.46713	2.09574	2.09574	0.24349	0.24349	0.209546	0.0654649	0.24349	1	1	0.860594	0.26886	0.448158	0.771281	1.0844	1.69616	1.6079	0.0957675	0.202167	0.293074	0.379977	0.466834	0.556011	0.649453	0.749145	0.857437	0.977424	1.11355	1.27276	1.46713	1.72081	2.09574	2.87568
30	-1707.08	-1705.99	-1.09447	3.88899	0.0148543	2.00726	2.2901e-05	0.30332	3.09232	2.00726	0.11922	0.30332	2.00726	0.0675981	3.09232	3.09232	0.11922	0.954774	0.454063	0.454063	2.00726	3.09232	0.662977	0.662977	1.37308	1.37308	0.000884472	5.75056	5.75056	2.00726	0.954774	3.09232	2.00726	1.37308	3.09232	1.37308	3.09232	0.195228	0.0675981	3.09232	1.37308	0.30332	0.0148543	2.00726	0.662977	2.00726	0.454063	5.75056	3.09232	2.00726	0.195228	0.954774	0.454063	3.09232	1.37308	1.37308	0.662977	2.00726	3.09232	3.09232	1.37308	2.00726	0.195228	3.09232	1.37308	0.954774	2.00726	3.09232	0.00484033	2.00726	3.09232	0.662977	3.09232	3.09232	1.37308	3.09232	3.09232	3.09232	0.306646	0.306646	0.244492	0.145969	0.306646	1	1	0.79731	0.476016	0.448158	0.771281	1.0844	1.69616	0.300692	2.2901e-05	0.000884472	0.00484033	0.0148543	0.0344182	0.0675981	0.11922	0.195228	0.30332	0.454063	0.662977	0.954774	1.37308	2.00726	3.09232	5.75056
40	-1689.1	-1687.58	-1.51944	3.88899	1.31685e-09	3.19298	1.33415e-06	0.536073	7.34406	0.536073	0.292566	0.075044	1.70994	3.33246e-05	1.70994	3.19298	0.0339193	0.957814	0.292566	0.292566	0.957814	7.34406	0.292566	0.536073	1.70994	7.34406	1.33415e-06	1.70994	7.34406	7.34406	0.292566	3.19298	1.70994	3.19298	1.70994	1.70994	1.70994	0.292566	0.0339193	1.70994	0.536073	0.152831	0.00027754	0.152831	0.292566	0.957814	0.292566	1.70994	1.70994	1.70994	0.152831	0.957814	0.152831	1.70994	0.957814	3.19298	0.152831	3.19298	7.34406	7.34406	0.957814	1.70994	0.0339193	1.70994	1.70994	0.957814	7.34406	1.70994	1.31685e-09	0.957814	7.34406	0.292566	0.957814	0.957814	0.957814	0.957814	0.075044	3.19298	0.332996	0.332996	0.356062	0.117531	0.332996	1	1	1.06927	0.352951	0.448158	0.771281	1.0844	1.69616	0.15874	1.31685e-09	1.33415e-06	3.33246e-05	0.00027754	0.00135193	0.00478817	0.0137322	0.0339193	0.075044	0.152831	0.292566	0.536073	0.957814	1.70994	3.19298	7.34406
50	-1698.84	-1696.5	-2.33954	3.88899	0.0542268	2.89278	0.0542268	2.89278	2.02348	1.11822	1.11822	0.46775	2.89278	0.0977215	1.48965	1.48965	0.236516	1.48965	0.843184	1.11822	1.48965	4.91654	1.48965	0.843184	1.48965	4.91654	0.000617629	1.48965	2.89278	2.89278	1.11822	2.02348	4.91654	2.89278	2.02348	2.02348	2.02348	1.11822	0.46775	2.89278	1.48965	0.632371	0.157563	0.632371	0.46775	1.48965	0.46775	2.02348	2.89278	2.89278	0.632371	2.02348	0.843184	2.89278	1.48965	1.48965	0.338229	2.89278	4.91654	4.91654	2.02348	2.89278	0.46775	2.02348	4.91654	0.843184	2.89278	0.843184	0.00767224	4.91654	1.11822	0.843184	2.02348	1.48965	2.02348	4.91654	0.632371	2.89278	0.203918	0.203918	0.488846	0.0761492	0.203918	1	1	2.39726	0.37343	0.448158	0.771281	1.0844	1.69616	0.436419	0.000617629	0.00767224	0.0248613	0.0542268	0.0977215	0.157563	0.236516	0.338229	0.46775	0.632371	0.843184	1.11822	1.48965	2.02348	2.89278	4.91654
60	-1705.69	-1702.5	-3.19124	3.88899	0.24264	1.77534	0.41407	2.19963	1.27537	1.27537	1.77534	0.822627	1.77534	0.505128	1.49111	1.77534	0.602156	1.77534	1.10027	1.10027	2.19963	1.49111	2.19963	2.19963	0.822627	2.19963	0.24264	1.49111	1.77534	3.09343	1.49111	2.19963	2.19963	1.49111	1.77534	2.19963	3.09343	1.10027	0.707153	2.19963	2.19963	0.707153	0.602156	1.77534	0.505128	1.10027	0.951998	1.49111	2.19963	1.49111	1.49111	2.19963	1.49111	2.19963	2.19963	0.951998	0.707153	2.19963	1.49111	2.19963	2.19963	3.09343	0.822627	1.27537	2.19963	1.27537	2.19963	1.77534	0.157663	2.19963	1.77534	1.49111	1.77534	0.822627	1.49111	1.49111	0.822627	2.19963	0.320969	0.320969	0.503818	0.221998	0.320969	1	1	1.56968	0.691652	0.448158	0.771281	1.0844	1.69616	1.32924	0.0655223	0.157663	0.24264	0.327205	0.41407	0.505128	0.602156	0.707153	0.822627	0.951998	1.10027	1.27537	1.49111	1.77534	2.19963	3.09343
70	-1712.5	-1711.33	-1.17175	3.88899	1.43305e-06	3.1941	0.0014018	0.539775	1.71398	1.71398	3.1941	0.0346018	1.71398	0.0014018	0.962138	1.71398	0.154764	1.71398	0.154764	0.295374	3.1941	0.962138	0.962138	3.1941	0.154764	3.1941	0.000290109	3.1941	1.71398	7.33119	1.71398	3.1941	3.1941	0.539775	0.962138	3.1941	3.1941	0.154764	0.0346018	3.1941	3.1941	0.0140723	3.52123e-05	1.71398	0.0140723	0.295374	0.154764	1.71398	3.1941	0.962138	0.962138	7.33119	1.71398	3.1941	3.1941	0.154764	0.0346018	7.33119	0.962138	3.1941	1.71398	7.33119	0.154764	0.295374	1.71398	0.539775	7.33119	0.962138	1.43305e-06	3.1941	3.1941	1.71398	3.1941	0.154764	0.962138	0.962138	0.154764	1.71398	0.259796	0.259796	0.35048	0.200895	0.259796	1	1	1.34906	0.77328	0.448158	0.771281	1.0844	1.69616	0.159554	1.46528e-09	1.43305e-06	3.52123e-05	0.000290109	0.0014018	0.00493298	0.0140723	0.0346018	0.0762542	0.154764	0.295374	0.539775	0.962138	1.71398	3.1941	7.33119
80	-1716.41	-1713.43	-2.97968	3.88899	0.0607006	4.83062	0.354632	2.86764	1.4976	2.02032	1.13215	0.650335	2.02032	0.250956	2.86764	2.86764	0.650335	2.02032	0.860097	0.860097	2.02032	2.02032	0.860097	4.83062	0.485418	2.86764	0.650335	2.86764	2.02032	2.02032	4.83062	2.02032	1.4976	0.860097	1.4976	2.86764	2.86764	2.02032	0.250956	2.02032	4.83062	0.250956	0.0607006	2.86764	0.106998	1.4976	0.354632	2.86764	2.86764	1.4976	1.4976	2.86764	2.86764	2.02032	2.86764	1.13215	0.354632	2.86764	2.86764	2.02032	1.4976	2.86764	0.485418	0.650335	2.86764	0.860097	2.86764	4.83062	0.028681	2.86764	2.86764	2.02032	2.02032	2.02032	1.4976	0.485418	2.02032	2.02032	0.420092	0.420092	0.400572	0.482061	0.420092	1	1	0.953534	1.14751	0.448158	0.771281	1.0844	1.69616	0.454837	0.000826174	0.00927281	0.028681	0.0607006	0.106998	0.169562	0.250956	0.354632	0.485418	0.650335	0.860097	1.13215	1.4976	2.02032	2.86764	4.83062
90	-1722.95	-1721.65	-1.30185	3.88899	0.00170834	4.60479	0.2035	4.60479	2.00787	4.60479	1.16591	0.398819	2.79779	0.13407	2.00787	4.60479	0.532022	2.00787	0.902703	0.902703	2.00787	2.00787	0.902703	4.60479	0.532022	4.60479	0.696725	1.51483	2.79779	2.00787	2.00787	2.00787	1.16591	0.532022	1.51483	2.79779	1.51483	1.51483	0.398819	1.51483	4.60479	0.29075	0.00170834	1.51483	0.2035	1.51483	0.532022	2.00787	2.00787	4.60479	1.51483	2.79779	2.79779	2.00787	2.79779	1.16591	0.29075	4.60479	2.79779	2.00787	1.16591	2.79779	0.696725	0.902703	4.60479	1.51483	2.79779	4.60479	0.0409372	2.79779	4.60479	2.79779	1.16591	1.51483	4.60479	0.696725	4.60479	2.79779	0.208028	0.208028	0.342681	0.121234	0.208028	1	1	1.64728	0.582777	0.448158	0.771281	1.0844	1.69616	0.50878	0.00170834	0.0148687	0.0409372	0.0803632	0.13407	0.2035	0.29075	0.398819	0.532022	0.696725	0.902703	1.16591	1.51483	2.00787	2.79779	4.60479
