"","Species","X12S","X16S","cytb","CXCR4","H3A","NCX1","POMC","RAG1","RHOD","SIA","SLC8A3","TYR","IUCN_status","population_trend"
"54","Ambystoma_andersoni","AY659993","AY659993","AY659993",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR","decreasing"
"55","Ambystoma_barbouri",NA,NA,"EF036616",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT","decreasing"
"56","Ambystoma_californiense","AY659995","AY659995","AY659995",NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","decreasing"
"57","Ambystoma_cingulatum","DQ283184","DQ283184 ","EF036621",NA,"DQ284218",NA,NA,NA,NA,NA,NA,NA,"VU","decreasing"
"58","Ambystoma_dumerilii","AY659994","AY659994","AY659994",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR","decreasing"
"59","Ambystoma_gracile",NA,NA,"EF036623",NA,NA,NA,NA,"AY650131",NA,NA,NA,NA,"LC","stable"
"60","Ambystoma_jeffersonianum",NA,NA,"EF036687",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","stable"
"61","Ambystoma_laterale","AY728218","AY728218","EF036630",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","stable"
"62","Ambystoma_mabeei",NA,NA,"EF036632",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","decreasing"
"63","Ambystoma_macrodactylum",NA,NA,"EF036634",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","stable"
"64","Ambystoma_maculatum",NA,NA,"EF036637",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","stable"
"65","Ambystoma_mexicanum","DQ283213","Y10947","AY341745","EF107455","DQ284244","EF107230",NA,"AY323752","DQ283893",NA,"EF107367",NA,"CR","decreasing"
"66","Ambystoma_opacum",NA,NA,"EF036638",NA,NA,NA,NA,"AY650130",NA,NA,NA,NA,"LC","stable"
"67","Ambystoma_ordinarium",NA,NA,NA,NA,NA,NA,NA,"AY583345",NA,NA,NA,NA,"EN","decreasing"
"68","Ambystoma_talpoideum",NA,NA,"EF036640",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","stable"
"69","Ambystoma_texanum",NA,NA,"EF036664",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","stable"
"70","Ambystoma_tigrinum","DQ283407","DQ283407 ","EF036667",NA,"DQ284388",NA,NA,NA,"DQ284016","DQ282864",NA,NA,"LC","stable"
"116","Amphiuma_means","GQ368656","FJ951270","FJ951335","EF107472",NA,"EF107248","FJ951366","AY650127",NA,NA,"EF107406",NA,"LC","unknown"
"117","Amphiuma_pholeter",NA,"FJ951275","FJ951346",NA,NA,"FJ951363","FJ951367","AY650128",NA,NA,"FJ951421",NA,"NT","decreasing"
"118","Amphiuma_tridactylum","DQ283119","DQ283119 ","FJ951356",NA,"DQ284165","FJ951361","FJ951368","FJ951369",NA,NA,"FJ951419",NA,"LC","stable"
"119","Andrias_davidianus","AY915966","AY915966","AF255430",NA,NA,"AY948847","EU275843","AY650142",NA,NA,"AY948911",NA,"CR","decreasing"
"120","Andrias_japonicus","DQ283274","DQ283274 ","AB445775",NA,"DQ284293",NA,NA,"AY583346",NA,NA,NA,NA,"NT","decreasing"
"121","Aneides_aeneus",NA,NA,"AY691742",NA,NA,NA,NA,"AY691701",NA,NA,NA,NA,"NT","decreasing"
"122","Aneides_ferreus",NA,"DQ105359",NA,NA,NA,NA,"EU275845",NA,NA,NA,NA,NA,"NT","decreasing"
"123","Aneides_flavipunctatus","AY274757","DQ105355","NC_006327",NA,NA,NA,"EU275848","EU275809",NA,NA,NA,NA,"NT","decreasing"
"124","Aneides_hardii",NA,NA,"NC_006338",NA,NA,NA,"EU275811","EU275780",NA,NA,NA,NA,"LC","stable"
"125","Aneides_lugubris",NA,"DQ105350","AY691758",NA,NA,NA,"EU275847","EU275807",NA,NA,NA,NA,"LC","stable"
