taxon	micro_dispersal	mega_dispersal	sporang_arrangement	strobilus_l	strobilus_w	strobilus_v	strobilus_lw	microsporangia_l	microsporangia_w	megasporangia_l	megasporangia_w	microspore_d	megaspore_d
anceps	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apoda	3.1	NA	2	5.8	1.3	5.132315198	4.461538462	0.46	0.33	0.77	0.72	17	274
arenicola	1	NA	1	9.198	1.189	6.808567333	7.735912532	0.538	0.51	0.657	0.603	26	317
arizonica	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
armata	NA	NA	2	3.021	1.182	2.209959428	2.555837563	0.516	0.313	0.565	0.562	20	204
asprella	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bigelovii	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
braunii	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
caulescens	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
densa	1	NA	1	9.087	1.296	7.991515634	7.011574074	0.511	0.444	0.651	0.549	NA	338
diffusa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
douglasii	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
emmeliana	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eremophila	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eurynota	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flabellata	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
galeottii	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
grandis	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
haematodes	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hansenii	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
helvetica	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hoffmannii	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
horizontalis	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kraussiana	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
krugii	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lepidophylla	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leucobryoides	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
