taxon	micro_dispersal	sporang_arrangement	strobilus_l	strobilus_w	strobilus_v	strobilus_lw	microsporangia_l	microsporangia_w	megasporangia_l	megasporangia_w	microspore_d	megaspore_d
watsonii	1	1	5.562	1.48	6.379006396	3.758108108	0.521	0.455	0.775	0.665	31	346
oregana	1	1	8.024	1.032	4.474545585	7.775193798	0.436	0.408	0.534	0.526	35	273
densa	1	1	9.087	1.296	7.991515634	7.011574074	0.511	0.444	0.651	0.549	NA	338
arenicola	1	1	9.198	1.189	6.808567333	7.735912532	0.538	0.51	0.657	0.603	26	317
asprella	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rupestris	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
selaginoides	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arizonica	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bigelovii	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
douglasii	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hansenii	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lepidophylla	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mutica	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rupinicola	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tortipila	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
underwoodii	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wallacei	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apoda	3.1	2	5.8	1.3	5.132315198	4.461538462	0.46	0.33	0.77	0.72	17	274
ludoviciana	3.1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pallescens	3.1	NA	9.236	1.056	5.392751185	8.746212121	0.622	0.441	0.588	0.554	32	198
martensii	3.1	NA	20.771	0.951	9.835966976	21.84121977	0.467	0.368	0.64	0.595	18	277
uncinata	3.2	NA	6.136	1.255	5.060243607	4.889243028	0.467	0.423	NA	NA	NA	NA
braunii	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lobbii	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plana	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plumosa	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stolonifera	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
viridangula	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
denticulata	NA	1	4.981	1.127	3.312554224	4.419698314	0.515	0.439	1.248	1.207	NA	483
leucobryoides	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sibirica	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
utahensis	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
armata	NA	2	3.021	1.182	2.209959428	2.555837563	0.516	0.313	0.565	0.562	20	204
pilifera	NA	2	3.529	1.1	2.235813896	3.208181818	0.537	0.425	NA	NA	NA	207
eremophila	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
peruviana	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stenophylla	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
viridissima	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
weatherbiana	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wrightii	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cuspidata	NA	3	3.083	0.628	0.636636354	4.909235669	0.396	0.269	NA	NA	26	NA
menzesii	NA	3	5.934	1.157	4.159229476	5.128781331	0.43	0.408	0.574	0.525	23	178
