taxon	clade	superclade	micro_dispersal	mega_dispersal	sporang_arrangement	strobilus_l	strobilus_w	strobilus_v	strobilus_lw	microsporangia_l	microsporangia_w	megasporangia_l	megasporangia_w	microspore_d	megaspore_d
anceps	anceps	c	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flabellata	anceps	c	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
haematodes	anceps	c	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
porphyrospora	anceps	c	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
umbrosa	anceps	c	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
diffusa	articulatae	a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eurynota	articulatae	a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kraussiana	articulatae	a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arenicola	homoeophyllae	a	1	NA	1	9.198	1.189	6.808567333	7.735912532	0.538	0.51	0.657	0.603	26	317
arizonica	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
asprella	homoeophyllae	a	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bigelovii	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
densa	homoeophyllae	a	1	NA	1	9.087	1.296	7.991515634	7.011574074	0.511	0.444	0.651	0.549	NA	338
eremophila	homoeophyllae	a	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hansenii	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leucobryoides	homoeophyllae	a	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mutica	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oregana	homoeophyllae	a	1	NA	1	8.024	1.032	4.474545585	7.775193798	0.436	0.408	0.534	0.526	35	273
peruviana	homoeophyllae	a	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rupestris	homoeophyllae	a	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rupinicola	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scopulorum	homoeophyllae	a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sibirica	homoeophyllae	a	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tortipila	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
underwoodii	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
utahensis	homoeophyllae	a	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wallacei	homoeophyllae	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
watsonii	homoeophyllae	a	1	NA	1	5.562	1.48	6.379006396	3.758108108	0.521	0.455	0.775	0.665	31	346
weatherbiana	homoeophyllae	a	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wrightii	homoeophyllae	a	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
braunii	homostachys	b	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
denticulata	homostachys	b	NA	NA	1	4.981	1.127	3.312554224	4.419698314	0.515	0.439	1.248	1.207	NA	483
douglasii	homostachys	b	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
helvetica	homostachys	b	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hoffmannii	homostachys	b	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plana	homostachys	b	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uncinata	homostachys	b	3.2	NA	NA	6.136	1.255	5.060243607	4.889243028	0.467	0.423	NA	NA	NA	NA
lepidophylla	lepidophylla	a	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uliginosa	lyallia	a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
armata	NA	NA	NA	NA	2	3.021	1.182	2.209959428	2.555837563	0.516	0.313	0.565	0.562	20	204
caulescens	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cuspidata	NA	NA	NA	NA	3	3.083	0.628	0.636636354	4.909235669	0.396	0.269	NA	NA	26	NA
emmeliana	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
galeottii	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
grandis	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
horizontalis	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
krugii	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lobbii	NA	NA	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ludoviciana	NA	NA	3.1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
menzesii	NA	NA	NA	NA	3	5.934	1.157	4.159229476	5.128781331	0.43	0.408	0.574	0.525	23	178
