

## The number of loci caught by each filter.
## ipyrad API location: [assembly].statsfiles.s7_filters

                           locus_filtering
total_prefiltered_loci              185658
filtered_by_rm_duplicates               53
filtered_by_max_indels                1593
filtered_by_max_snps                     0
filtered_by_max_hetero               13607
filtered_by_min_sample              101956
filtered_by_edge_trim                    0
total_filtered_loci                  68859


## The number of loci recovered for each Sample.
## ipyrad API location: [assembly].stats_dfs.s7_samples

                  sample_coverage
V_bXn_1                     23280
V_bXn_2                     19358
V_bonolobum_1               18024
V_mattii_1                  26567
V_mattii_2                  36350
V_mattii_3                  28679
V_neilius_1                 19712
V_oXm_1                     23252
V_oXm_2                     21134
V_oXm_3                     45870
V_oXm_4                     40766
V_oonakatensis_1            38762
V_oonakatensis_2            42864
V_oonakatensis_3            25378


## The number of loci for which N taxa have data.
## ipyrad API location: [assembly].stats_dfs.s7_loci

    locus_coverage  sum_coverage
1              NaN           0.0
2              NaN           0.0
3              NaN           0.0
4          18420.0       18420.0
5          15035.0       33455.0
6          12542.0       45997.0
7           9521.0       55518.0
8           6298.0       61816.0
9           3886.0       65702.0
10          1909.0       67611.0
11           723.0       68334.0
12           223.0       68557.0
13            63.0       68620.0
14           239.0       68859.0


## The distribution of SNPs (var and pis) across loci.
## pis = parsimony informative site (minor allele in >1 sample)
## var = all variable sites (pis + autapomorphies)
## ipyrad API location: [assembly].stats_dfs.s7_snps

      var  sum_var     pis  sum_pis
0   49837        0  158710      NaN
1   27883        0   10886      NaN
2   18640    27883    5641      NaN
3   14296    46523    3656      NaN
4   11485    60819    2415      NaN
5    9461    72304    1545      NaN
6    7821    81765     968      NaN
7    6627    89586     601      NaN
8    5741    96213     422      NaN
9    5328   101954     285      NaN
10   5016   107282     204      NaN
11   4929   112298     158      NaN
12   4872   117227      88      NaN
13   4502   122099      46      NaN
14   2272   126601      18      NaN
15   1810   128873       6      NaN
16   1412   130683       4      NaN
17   1096   132095       2      NaN
18    844   133191       0      NaN
19    544   134035       2      NaN
20    386   134579       0      NaN
21    292   134965       0      NaN
22    194   135257       1      NaN
23    125   135451       0      NaN
24     75   135576       0      NaN
25     61   135651       0      NaN
26     42   135712       0      NaN
27     22   135754       0      NaN
28     12   135776       0      NaN
29      9   135788       0      NaN
30      7   135797       0      NaN
31      6   135804       0      NaN
32      4   135810       0      NaN
33      3   135814       0      NaN
34      2   135817       0      NaN
35      0   135819       0      NaN
36      0   135819       0      NaN
37      0   135819       0      NaN
38      0   135819       0      NaN
39      0   135819       0      NaN
40      1   135819       0      NaN
41      0   135820       0      NaN
42      0   135820       0      NaN
43      1   135820       0      NaN
