species	GI
Abyla trigona	NA
Abylopsis tetragona	mito
Aegina citrea	166007992
Aequorea coerulescens	mito
Agalma clausi	mito
Agalma elegans	60545006
Agalma okeni	60544980
Apolemia uvaria		mito
Athorybia lucida	NA
Athorybia rosacea	60545018
Aurelia aurita	14700050
Bathocyroe fosteri	NA
Bathyphysa sibogae	60544993
Beroe cucumis	439479
Beroe forskali	672012396
Beroe ovata	584613477
Bolinopsis vitrea	14517690
Calycopsis nematophora	NA
Cavolinia longirostris	82502279
Ceratocymba sagitatta	NA
Cestum veneris	672012401
Chelophyes appendiculata	 60545012
Chromatonema erythrogonon	COI
Clytia hemispherica	256674696
Collozoum inerme	386267889
Corolla spectabilis	COI
Cunina vitrea	NA
Cyclosalpa affinis	317016616
Cyclosalpa bakeri	NA
Cyclosalpa pinnata	NA
Cyclosalpa polae	317016620
Deiopea kaloktenota	672012400
Diphyes bojani	mito
Diphyes dispar	60544984
Discomedusa lobata	NA
Eirene pyramidalis	212292800
Eurhamphaea vexilligera	NA
Eutonina indicans	mito
Forskalia edwardsi	60545021
Forskalia tholoides	60544987
Geryonia proboscidalis	166007995
Haliscera bigelowi	NA
Helicosalpa komaii	NA
Hippopodius hippopus	15429271
Hormiphora californiensis	4093176
Iasis zonaria	317016613
Ihlea punctata	NA
Kiyohimea usagi	NA
Lampea pancerina	672012395
Lensia conoidea	mito
Lensia fowleri	COI
Leuckartiara octona	166407208
Leuckartiara zacae	NA
Leucothea multicornis	672012399
Leucothea pulchra	14517691
Liriope tetraphylla	984932136
Mitrocoma cellularia	NA
Mnemiopsis mccradyi	672012398
Nanomia bijuga	60545004
Nectadamas diomedeae	60545014
Ocyropsis crystallina	NA
Ocyropsis maculata	NA
Pandea conica	429474199
Pegea bicaudata	317016612
Pegea confoederata	392858954
Pegea socia	NA
Pelagia noctiluca	305381544
Physophora hydrostatica	60545008
Pleurobrachia bachei	NA
Pleurobrachia pileus	14517681
Pterotrachea hippocampus	COI
Pyrosoma atlanticum	317016609
Resomia ornicephala	197941295
Ritteriella picteti	317016635
Rosacea cymbiformis	NA
Salpa aspera	317016629
Salpa cylindrica	317016625
Salpa fusiformis	317016633
Salpa maxima	317016632
Solmissus incisa	15429263
Sphaeronectes koellikeri	15429272
Sphaerozoum punctatum	575402109
Stephanophyes superba	mito
Sulculeolaria chuni	NA
Sulculeolaria monoica	NA
Sulculeolaria quadrivalvis	60545019
Tethys vagina	807263337
Thalassoxanthium medusinum	NA
Thalia democratica	317016639
Tima formosa	mito
Transtedtia multitentaculata	NA
Vitreosalpa gemini	NA
