TAXON	FAD	LAD	FTP	MASS
Tyrannosaurus	72.1	66	0.36666	6000
Tarbosaurus	72.1	66	0.34783	4000
Daspletosaurus	83.6	72.1	0.33333	2500
Gorgosaurus	83.6	72.1	0.3913	2500
Albertosaurus	72.1	83.6	0.36364	2500
Bistahieversor	83.6	72.1	0.33333	2500
Compsognathus	152.1	145	0.28571	2.5
Sinosauropteryx	125	113	0.3125	1
Giganotosaurus	100.5	93.9	0.35	7500
Acrocanthosaurus	125	113	0.33333	4400
Allosaurus	157.3	152.1	0.36842	1700
Sinraptor	166.1	157.3	0.36364	1300
Yangchuanosaurus	163.5	157.3	0.42105	3000
Suchomimus	125	113	0.36842	2500
Streptospondylus	163.5	157.3	0.42857	2500
Piatnitzkysaurus	163.5	157.3	0.28571	275
Sinosaurus	201.3	199.3	0.42105	300
Ceratosaurus	157.3	145	0.4	600
Dilophosaurus	199.3	190.8	0.375	400
Liliensternus	227	201.3	0.3125	130
Herrarasaurus	235	228	0.38095	200
Staurikosaurus	235	228	0.3	12
Eoraptor	235	228	0.29412	2
Saurolophus_osborni	72.1	66	0.42308	3000
Saurolophus_angustirostris	72.1	66	0.61538	9000
Gryposaurus	83.6	72.1	0.51852	3000
Edmontosaurus_regalis	72.1	66	0.5	3700
Edmontosaurus_annectens	72.1	66	0.54545	3200
Shantungosaurus	83.6	72.1	0.52174	13000
Brachylophosaurus	83.6	72.1	0.45455	7000
Maiasaura	83.6	72.1	0.48148	2500
Lambeosaurus_lambei	83.6	72.1	0.51724	2500
Lambeosaurus_magnicristatus	83.6	72.1	0.51852	2500
Corythosaurus_casuarius	83.6	72.1	0.48	2800
Corythosaurus_intermedius	83.6	72.1	0.57692	2500
Hypacrosaurus_stebingeri	83.6	72.1	0.42308	3000
Hypacrosaurus_altispinus	72.1	66	0.53846	3400
Parasaurolophus	83.6	72.1	0.53846	2600
Olorotitan	72.1	66	0.52	3100
Tsintaosaurus	83.6	72.1	0.52174	2500
Bactrosaurus	83.6	72.1	0.47826	1200
Tethyshadros	72.1	66	0.5	300
Probactrosaurus	100.5	86.3	0.56	1000
Mantellisaurus	129.4	113	0.54545	1100
Iguanodon	129.4	125	0.58621	3200
Ouranosaurus	125	113	0.57143	2200
Uteodon	152.1	145	0.6	500
Camptosaurus	157.3	145	0.63636	500
Dryosaurus	157.3	145	0.5	100
Dysalotosaurus	157.3	152.1	0.55	80
Tenontosaurus	125	100.5	0.5	600
Zalmoxes	72.1	66	0.55	350
Parksosaurus	72.1	66	0.52632	45
Gasparinisaura	83.6	72.1	0.46429	13
Talenkauen	100.5	93.9	0.48276	300
Thescelosaurus	72.1	66	0.54545	90
Hypsilophodon	129.4	125	0.5	20
Montanoceratops	72.1	66	0.45833	170
Leptoceratops	72.1	66	0.44	100
Protoceratops	83.6	72.1	0.48148	175
Psittacosaurus_neimongoliensis	125	100.5	0.47619	8
Psittacosaurus_mongoliensis	125	100.5	0.52381	15
Pachycephalosaurus	72.1	66	0.48	450
Prenocephale	83.6	72.1	0.5	40
Othnielosaurus	157.3	145	0.44444	30
Agilisaurus	168.3	163.5	0.47368	12
Heterodontosaurus	201.3	190.8	0.47059	3.5
Marasuchus	235	228	0.298401421	3.5
