Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
0	-3889.84	-3634.42	-255.412	0.552419	0.606936	0.00106161	0.578284	0.028652	0.0908687	0.171962	0.101798	0.0322654	0.544566	0.0585396	0.0434678	0.284766	0.854958	2.81681	-2.97403	0.19588	0.325279	0.32467	0.154171	0.578284
10	-3879.6	-3617.55	-262.049	0.358304	0.402338	0.00109712	0.364866	0.0374713	0.0931431	0.154168	0.145142	0.0539568	0.482288	0.0713013	0.011187	0.149998	0.681911	3.1569	-2.95975	0.200128	0.310648	0.33171	0.157514	0.364866
20	-3876.6	-3620.73	-255.877	0.560561	0.482883	0.000992067	0.452386	0.0304969	0.09846	0.176217	0.153428	0.0570368	0.439487	0.0753714	0.0450897	0.289625	0.859782	2.8055	-3.00346	0.187015	0.334718	0.314658	0.163609	0.452386
30	-3882.11	-3621.12	-260.988	0.403756	0.403021	0.00090111	0.362591	0.0404305	0.100546	0.209123	0.112086	0.060445	0.437925	0.0798751	0.01726	0.184557	0.735314	3.06287	-3.04522	0.193358	0.354106	0.301244	0.151293	0.362591
40	-3877.34	-3614.84	-262.492	0.390627	0.300543	0.000978436	0.249071	0.051472	0.0801636	0.187991	0.0947947	0.0481917	0.525176	0.0636829	0.0153857	0.17472	0.720935	3.08896	-3.00947	0.203419	0.340876	0.303034	0.152672	0.249071
50	-3876.94	-3613.59	-263.352	0.398079	0.481828	0.000842704	0.448982	0.0328467	0.0923231	0.173812	0.150252	0.0739954	0.436275	0.0733426	0.0164383	0.18032	0.729194	3.07405	-3.07432	0.222998	0.307779	0.30162	0.167602	0.448982
60	-3878.12	-3620.96	-257.157	0.484478	0.404996	0.00107694	0.361399	0.0435971	0.104133	0.138671	0.103692	0.0530979	0.542448	0.0579584	0.0305481	0.241662	0.808637	2.91915	-2.96781	0.215897	0.297978	0.323859	0.162265	0.361399
70	-3881.55	-3620.41	-261.136	0.336529	0.451487	0.000982594	0.399867	0.05162	0.105386	0.21597	0.10494	0.0800259	0.435012	0.0586655	0.00872061	0.133051	0.652345	3.20588	-3.00763	0.221373	0.31987	0.284571	0.174186	0.399867
80	-3877.46	-3618.5	-258.965	0.414297	0.452858	0.000958198	0.408137	0.0447212	0.0996091	0.189465	0.0863479	0.075639	0.455545	0.093394	0.0188298	0.192353	0.746299	3.04252	-3.01854	0.210298	0.326797	0.290077	0.172828	0.408137
90	-3889.32	-3633.64	-255.685	0.593561	0.46696	0.000982147	0.416341	0.0506193	0.0993777	0.199735	0.138099	0.0604268	0.427751	0.074611	0.0517827	0.308674	0.877998	2.76155	-3.00782	0.182749	0.328828	0.31402	0.174403	0.416341
100	-3884.6	-3622.94	-261.661	0.401377	0.36098	0.00088721	0.320851	0.0401294	0.109481	0.174662	0.13117	0.0528413	0.453279	0.0785668	0.0169136	0.182784	0.732766	3.06754	-3.05197	0.175651	0.326443	0.323124	0.174781	0.320851
110	-3884.27	-3624.31	-259.961	0.491854	0.331402	0.000926716	0.294002	0.0373996	0.0934641	0.187427	0.140757	0.0701252	0.455323	0.0529029	0.031888	0.246564	0.814249	2.9073	-3.03305	0.216899	0.326382	0.291914	0.164805	0.294002
120	-3884.95	-3619.37	-265.58	0.373135	0.447078	0.000933413	0.392446	0.0546319	0.112405	0.182683	0.074685	0.0683502	0.469575	0.0923012	0.0130371	0.161421	0.700492	3.12505	-3.02993	0.207525	0.354332	0.288191	0.149951	0.392446
