Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	TL
0	-3867.62	-3854.88	-12.7337	0.0102939	0.0257881	0.0361898	0.0179435	0.005882	0.0151128	0.021543	0.0228135	0.00558358	0.00190283	0.0106582	0.00341659	0.00359408	0.00182409	0.00991005	0.0154396	0.040851	0.0292468	0.0156262	0.0103295	0.0124809	0.00290255	0.00488974	0.00483651	0.00603669	0.0106031	0.023784	0.00534699	0.0049864	0.0132207	0.0122088	0.00829859	0.0104871	0.0143922	0.00588838	0.0027083	0.000698825	0.00813392	0.00274333	0.0210553	0.0258036	0.0013186	0.0107017	0.0196053	0.00272722	0.00559005	0.00402395	0.0177605	0.00142274	0.00283133	0.0203044	0.0196298	0.0668698	0.00899737	0.017183	0.00278975	0.00463193	0.000975644	0.00142111	0.0164689	0.0123122	0.00367615	0.00898918	0.00714693	0.00176959	0.00286367	0.0010823	0.0066403	0.0264425	0.801631
10	-3862.76	-3849.69	-13.0668	0.0171382	0.0142767	0.0375622	0.0109631	0.005882	0.00187564	0.015539	0.0227091	0.014864	0.00190283	0.00219874	0.00287691	0.00359408	0.00470557	0.00991005	0.0144322	0.0656012	0.0156327	0.00432428	0.0133231	0.0141835	0.00671021	0.00768607	0.000828333	0.00581126	0.0118919	0.0264402	0.0063946	0.00201942	0.0146608	0.00561808	0.0106697	0.0126742	0.0202442	0.00588838	0.00917735	0.00119252	0.00813392	0.00113146	0.0167222	0.0318267	0.00794099	0.0164075	0.0283861	0.00771223	0.00413597	0.00402395	0.0272321	0.00346286	0.000371954	0.0270107	0.0182518	0.0388238	0.0108655	0.0240646	0.00539365	0.0043477	0.000975644	0.0014899	0.0133226	0.0108914	0.00367615	0.0199573	0.00900591	0.00176959	0.00981462	0.00181996	0.0066403	0.0279352	0.834946
20	-3870.46	-3857.42	-13.0333	0.0020805	0.017364	0.0357292	0.0114312	0.00525949	0.0101939	0.00654825	0.0119962	0.0122276	0.000796306	0.00631243	0.00741043	0.00166053	0.00470557	0.00954067	0.0077951	0.0559292	0.0144021	0.00748705	0.0158081	0.0229595	0.0021194	0.00873749	0.000828333	0.00678911	0.00273509	0.0221698	0.00219242	0.00892646	0.00781225	0.0110328	0.0112252	0.0130441	0.025066	0.00239475	0.00917735	0.00125805	0.00709987	0.00599212	0.0377914	0.0341373	0.00758542	0.0122527	0.0161941	0.00829945	0.00523828	0.000973405	0.0272288	0.00193862	0.00570349	0.0373858	0.0215361	0.0563283	0.0118757	0.02612	0.00406412	0.00421088	0.0032533	0.0010764	0.0194946	0.004697	0.0013498	0.0157157	0.00524898	0.00225112	0.00707605	0.00181996	0.00384485	0.0306644	0.831594
30	-3863.61	-3850.89	-12.7134	0.00847625	0.0231797	0.0438643	0.0103783	0.000386972	0.0107708	0.0145461	0.0119962	0.0039052	0.00566359	0.00367299	0.00844743	0.0025581	0.00337125	0.00619299	0.0277075	0.0653965	0.0176329	0.00133749	0.0214026	0.011932	0.003128	0.0110884	0.00389726	0.0244942	0.00691743	0.0231361	0.0066823	0.00233078	0.0114788	0.00866071	0.00947653	0.0127449	0.0224568	0.00156909	0.00268636	0.00451027	0.00223909	0.00175705	0.0204458	0.0536431	0.00973201	0.013892	0.017559	0.00517669	0.00535092	0.000350165	0.0234453	0.00228368	0.000152433	0.0169908	0.0135093	0.0335597	0.00812713	0.0208873	0.00208614	0.00393561	0.0032533	0.000257821	0.0184215	0.00389784	0.0013498	0.0118879	0.000609525	0.00120361	0.00707605	0.0013613	0.00843145	0.0286523	0.799603
40	-3854.85	-3841.96	-12.8957	0.00670345	0.022886	0.0458018	0.00966386	0.00038074	0.00250525	0.0146953	0.00930516	0.00417678	0.00328741	0.0108147	0.00538802	0.00340938	0.00337125	0.00733254	0.0187237	0.0748693	0.0314797	0.00828089	0.0163622	0.0138365	0.00414568	0.0110884	0.00389726	0.00410132	0.00897542	0.0208981	0.00658361	0.00240992	0.0137658	0.0112791	0.00602791	0.00852628	0.0167537	0.00173174	0.00136136	0.00148413	0.00629132	0.00238894	0.0265383	0.0469861	0.00973201	0.0267847	0.0192851	0.00400672	0.00362326	0.00293725	0.0196164	0.00130707	0.000152433	0.0176405	0.0135093	0.0572623	0.00812713	0.0153264	0.00208614	0.00462446	0.00265287	0.000387945	0.0265224	0.00700107	0.00081816	0.0163683	0.00178686	0.000792751	0.00707605	0.0034388	0.0103934	0.0160699	0.817838
50	-3859.92	-3846.76	-13.1595	0.00765262	0.0260369	0.0552829	0.00966386	0.00117939	0.00893357	0.00887361	0.017723	0.00857578	0.00187162	0.00486275	0.00563352	0.0032757	0.0039743	0.00594655	0.0127273	0.047089	0.0160071	0.00828089	0.0163622	0.0152441	0.00241136	0.00579961	0.000237841	0.00410132	0.0107111	0.0262346	0.00495495	0.0112187	0.0168294	0.0101578	0.00997638	0.0161679	0.0151217	0.00335138	0.00545283	0.000578075	0.00455204	0.00238894	0.0234528	0.0439766	0.0109531	0.0177257	0.0167989	0.00992324	0.00676473	0.00285991	0.0232241	0.00232617	0.00811798	0.0273153	0.0100737	0.0551935	0.0133882	0.0224954	0.00507816	0.000623485	0.00639224	0.00124624	0.0173329	0.00578872	0.000516219	0.0218789	0.0109415	0.000792751	0.00402841	0.00605638	0.00507011	0.0284373	0.844215
60	-3865.17	-3852.48	-12.6934	0.00318715	0.0257904	0.0464436	0.0145786	0.000298472	0.00373708	0.00914682	0.0121167	0.00705071	0.00123916	0.00914044	0.00563352	0.00396328	0.00248724	0.00594655	0.00983799	0.0638688	0.0242968	0.00569869	0.0163214	0.00662445	0.00241136	0.00669965	0.00648552	0.00143493	0.00902648	0.0166373	0.00725277	0.00346396	0.0207304	0.0125076	0.0103591	0.00583739	0.0245998	0.00553439	0.000452896	0.00382871	0.00150681	0.00238894	0.0173302	0.0358787	0.00546808	0.0174967	0.0146765	0.00482634	0.00641029	0.00219012	0.0427696	0.00232617	0.000662749	0.0192163	0.0184411	0.0502829	0.0160501	0.0161508	0.00269304	0.000369184	0.000929107	0.00117182	0.0173329	0.00242511	0.000661232	0.0134343	0.0109415	0.00143891	0.00248679	0.00605638	0.0148591	0.0340605	0.797602
70	-3872.32	-3859.23	-13.0826	0.0125035	0.02044	0.0375317	0.00968919	0.000298472	0.00564606	0.0132351	0.0120273	0.00546727	0.0083336	0.00937214	0.00485875	0.00154074	0.00391901	0.00694445	0.0141222	0.0611653	0.0273478	0.00722744	0.0212424	0.0116637	0.00180248	0.0113196	0.00143496	0.0118693	0.00907241	0.0301284	0.0158603	0.00411935	0.0111174	0.01151	0.00621321	0.0135786	0.0223284	0.00331234	0.000931512	0.00382871	0.0064598	0.00175317	0.0155054	0.0497745	0.0180969	0.00470373	0.00954011	0.00482634	0.00344026	0.00219012	0.0170951	0.000610678	0.0099097	0.0250964	0.0177746	0.0441071	0.0187458	0.0246978	0.00269304	0.00753892	0.00317484	0.00236463	0.0182068	0.00534135	0.000661232	0.0122844	0.00810779	0.000111687	0.00787062	0.000960254	0.0123079	0.027567	0.836521
80	-3869.95	-3857.19	-12.7624	0.00940413	0.0155003	0.0541746	0.0249856	0.00258413	0.00418152	0.0132351	0.0214233	0.00546727	0.00444047	0.000745439	0.00570256	0.00201688	0.00298046	0.0082406	0.0133284	0.0568774	0.0314764	0.0124972	0.00753035	0.0099216	0.00484596	0.0048719	0.00629843	0.00162624	0.00947524	0.0329988	0.00297408	0.00184656	0.0290776	0.01151	0.0097019	0.0156794	0.014412	0.00449213	0.0023503	0.00348092	0.00795886	0.00147144	0.0185391	0.0292697	0.0067079	0.0148384	0.010974	0.00520084	0.00379567	0.00188799	0.0269943	0.00125912	0.000877407	0.0257345	0.00820615	0.0481033	0.0123456	0.0142646	0.00269304	0.00121938	0.00692421	0.000647319	0.0257581	0.0104017	0.00445236	0.0122844	0.00639329	0.00292285	0.0109917	0.00048166	0.00586973	0.0126814	0.804505
90	-3851.81	-3839.21	-12.5986	0.00218333	0.0205755	0.0397657	0.0122808	0.00087142	0.00609427	0.0138024	0.0161858	0.00900195	0.00194391	0.00190828	0.0048484	0.000814899	0.000658828	0.0148912	0.0170307	0.0581196	0.0305767	0.00530821	0.0225004	0.013439	0.00484596	0.00751877	0.000276012	0.0053945	0.00614671	0.0230095	0.00399319	0.0037948	0.0153909	0.0115507	0.0126381	0.0111112	0.0102943	0.00624415	0.000460975	0.000927035	0.00481686	0.00445679	0.025218	0.0416911	0.00412914	0.00859979	0.0122586	0.00308006	0.00978305	0.00249501	0.0233432	0.00125912	0.00307498	0.029586	0.00708239	0.0584579	0.00757764	0.0151352	0.00433931	0.00504695	0.00265492	0.00517904	0.012503	0.0133589	0.00594465	0.0153502	0.00639329	0.00132138	0.00409239	0.00708971	0.00586973	0.0205341	0.78812
100	-3871.97	-3858.7	-13.2668	0.0120036	0.032109	0.0380253	0.0184509	0.000589239	0.00908196	0.0134497	0.0183435	0.0142055	0.00194391	0.00474716	0.00602171	0.000654968	0.00621022	0.00681467	0.0126502	0.0560394	0.0263508	0.00145301	0.0253288	0.0186003	0.00834984	0.00946668	0.000475777	0.00960331	0.00751423	0.00827494	0.00498709	0.00325457	0.0153909	0.0135695	0.0137432	0.011527	0.014729	0.0041998	0.00940417	0.00572109	0.00905966	0.00108626	0.0127876	0.0297219	0.00351014	0.0119653	0.0145439	0.00259044	0.00718347	0.00109502	0.0242396	0.00034541	0.00279769	0.020603	0.0173135	0.0784525	0.0186548	0.0221075	0.00433931	0.00504695	0.00566416	0.00773558	0.0124799	0.0040676	0.00657244	0.0163205	0.00791515	0.000587456	0.00310371	0.00708971	0.00265793	0.0300191	0.854942
110	-3878.39	-3865.09	-13.2941	0.00588803	0.0242021	0.0219608	0.0088332	0.00349908	0.0113436	0.0108196	0.0207492	0.00685272	0.000822398	0.00474716	0.00529308	0.00868886	0.0104337	0.00957222	0.0131443	0.0808047	0.0248159	0.00268776	0.0174758	0.0146525	0.00834984	0.0151153	0.000697547	0.0164395	0.00468005	0.0322678	0.00738144	0.00145232	0.01692	0.00726797	0.0065057	0.00852387	0.0176128	0.0041998	0.00429364	0.000258742	0.00905966	0.00746589	0.0085305	0.0341986	0.00249645	0.011476	0.014267	0.00473319	0.00840558	0.00109502	0.0323668	0.00124807	0.00279769	0.0277676	0.00695134	0.0502604	0.00698317	0.0133951	0.0133908	0.00262268	0.00422844	0.00709433	0.0311662	0.0113747	0.00171439	0.0170791	0.0106837	0.00183504	0.00310371	0.00708971	0.00640359	0.0371402	0.857678
120	-3865.94	-3853.31	-12.6324	0.012489	0.027946	0.0308489	0.0170657	0.00349908	0.00744645	0.0108196	0.0207492	0.0100352	0.000926213	0.00455044	0.00208401	0.00569988	0.0104337	0.00905074	0.0119463	0.0681306	0.0305112	0.00583493	0.0136438	0.00637139	0.00495821	0.00826407	0.00129863	0.0107294	0.00783225	0.0248252	0.00542168	0.00145232	0.0115857	0.0181137	0.00620156	0.013827	0.0160183	0.00479916	0.00117736	0.000595084	0.00795722	0.00151586	0.0197069	0.0341986	0.0146991	0.0075906	0.016315	0.00473319	0.00377856	0.00109502	0.0235784	0.00150468	0.000370923	0.0248618	0.022736	0.0387188	0.00759472	0.0180881	0.0114723	0.00262268	0.00422844	0.000819796	0.0082196	0.00685223	0.000128939	0.0117393	0.0106837	0.00183504	0.00297762	3.67075e-05	0.00640359	0.0272634	0.791509
