Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
0	-5758.87	-5337.59	-421.275	65.5407	0.22997	5.5143e-05	0.188909	0.041061	0.152215	0.194906	0.0510467	0.192136	0.258523	0.151174	0.847649	0.955656	1.03563	1.16106	-4.25851	0.316887	0.173503	0.171662	0.337948	0.188909
10	-5752.06	-5342.91	-409.155	59.8101	0.253921	7.19403e-05	0.191427	0.0624941	0.134715	0.197561	0.0557742	0.171915	0.249221	0.190814	0.84076	0.953379	1.03707	1.16879	-4.14303	0.311496	0.175258	0.173398	0.339848	0.191427
20	-5747.07	-5339.82	-407.249	154.514	0.259914	7.5089e-05	0.207057	0.0528569	0.137247	0.201273	0.0602197	0.172676	0.253903	0.174681	0.899674	0.972064	1.02424	1.10402	-4.12442	0.316833	0.171488	0.169363	0.342316	0.207057
30	-5744.72	-5342.33	-402.386	130.069	0.308444	7.32585e-05	0.263068	0.0453762	0.140799	0.194628	0.0617785	0.159783	0.27322	0.169791	0.890851	0.969378	1.02623	1.11354	-4.13514	0.336955	0.166437	0.164375	0.332233	0.263068
40	-5744.4	-5338.14	-406.259	72.3176	0.35497	8.12338e-05	0.302561	0.0524092	0.115935	0.212987	0.0867995	0.138505	0.267991	0.177783	0.854737	0.957973	1.03413	1.15316	-4.09026	0.321786	0.159373	0.181275	0.337566	0.302561
50	-5746.42	-5338.44	-407.98	136.187	0.262163	7.15646e-05	0.211336	0.0508274	0.125331	0.191487	0.0938346	0.14973	0.315283	0.124334	0.893277	0.970121	1.02568	1.11092	-4.1453	0.333972	0.153056	0.172195	0.340777	0.211336
60	-5756.93	-5347.12	-409.803	185.41	0.257553	6.67293e-05	0.213612	0.0439405	0.232806	0.232797	0.0405061	0.139229	0.2386	0.116061	0.908254	0.97464	1.02228	1.09483	-4.17568	0.344063	0.142357	0.172482	0.341098	0.213612
70	-5761.26	-5347.63	-413.631	65.3462	0.160247	7.04211e-05	0.0934581	0.0667887	0.233177	0.213351	0.0476237	0.132406	0.263068	0.110374	0.847429	0.955584	1.03568	1.16131	-4.1523	0.337303	0.142647	0.172833	0.347217	0.0934581
80	-5748.38	-5332.76	-415.622	115.948	0.308548	6.57159e-05	0.246466	0.0620821	0.0916861	0.186743	0.0596406	0.213756	0.330751	0.117423	0.884546	0.967435	1.02764	1.12038	-4.18233	0.319914	0.161038	0.171942	0.347106	0.246466
90	-5751.5	-5338.29	-413.205	117.522	0.141995	6.98316e-05	0.0898029	0.0521916	0.0874762	0.177055	0.0569022	0.213862	0.313946	0.150759	0.885304	0.967669	1.02747	1.11956	-4.15595	0.321428	0.145481	0.184343	0.348748	0.0898029
100	-5741.69	-5332.51	-409.183	129.416	0.199368	7.57688e-05	0.134677	0.0646909	0.224235	0.18137	0.0483938	0.141905	0.258143	0.145953	0.890582	0.969295	1.02629	1.11383	-4.12051	0.319784	0.161965	0.188321	0.32993	0.134677
110	-5743.72	-5325.9	-417.823	24.545	0.204816	7.27398e-05	0.124919	0.0798968	0.149779	0.17689	0.0531388	0.176475	0.283454	0.160264	0.756362	0.92336	1.05342	1.26686	-4.13823	0.320158	0.161085	0.170927	0.34783	0.124919
120	-5747.54	-5335.64	-411.907	167.643	0.286372	6.86074e-05	0.234242	0.0521302	0.148463	0.190897	0.052672	0.174925	0.261682	0.171361	0.903606	0.973249	1.02334	1.0998	-4.16363	0.317122	0.159558	0.169306	0.354014	0.234242
130	-5755.3	-5344.96	-410.339	199.535	0.395412	7.44156e-05	0.334218	0.0611944	0.164364	0.211039	0.0488387	0.162194	0.254674	0.15889	0.911503	0.975606	1.02153	1.09136	-4.12834	0.332755	0.163703	0.155326	0.348216	0.334218
140	-5746.76	-5336.69	-410.074	83.497	0.213995	7.39031e-05	0.147079	0.0669158	0.127407	0.224997	0.0454674	0.150998	0.280444	0.170687	0.864524	0.96113	1.03203	1.14232	-4.13134	0.307842	0.162877	0.182822	0.346459	0.147079
150	-5763.67	-5345.09	-418.574	180.737	0.305179	6.21079e-05	0.259306	0.0458725	0.136501	0.256581	0.0487127	0.10895	0.266384	0.18287	0.907097	0.974295	1.02254	1.09606	-4.20685	0.352966	0.162267	0.165544	0.319223	0.259306
160	-5757.75	-5343.98	-413.774	79.0249	0.328097	5.84456e-05	0.289959	0.0381382	0.187033	0.241144	0.045782	0.102395	0.27084	0.152806	0.860854	0.959952	1.03282	1.14637	-4.23325	0.351376	0.163259	0.164191	0.321174	0.289959
170	-5755.79	-5341.97	-413.822	95.3514	0.192645	6.79972e-05	0.13365	0.0589951	0.171914	0.196449	0.0569319	0.168659	0.276965	0.129081	0.872995	0.963822	1.03019	1.133	-4.16751	0.338806	0.143436	0.173046	0.344712	0.13365
180	-5745.83	-5334.42	-411.407	120.321	0.238379	6.23825e-05	0.191137	0.0472427	0.163344	0.222954	0.0540936	0.145343	0.263157	0.151108	0.886615	0.968074	1.02718	1.11813	-4.20494	0.337438	0.156369	0.168625	0.337569	0.191137
190	-5745.2	-5333.8	-411.403	40.6014	0.20568	6.83321e-05	0.152512	0.0531679	0.164455	0.232184	0.0399456	0.146332	0.264947	0.152136	0.808161	0.942257	1.04369	1.20589	-4.16538	0.330436	0.158954	0.171413	0.339197	0.152512
200	-5738.48	-5331.6	-406.879	102.144	0.285803	7.5298e-05	0.248187	0.0376158	0.153243	0.198325	0.0788704	0.14984	0.244014	0.175708	0.877182	0.965139	1.02927	1.12841	-4.12322	0.328231	0.155222	0.183067	0.33348	0.248187
210	-5745.38	-5336.5	-408.883	160.245	0.29858	7.41036e-05	0.252806	0.0457739	0.149764	0.193822	0.0770797	0.194732	0.247169	0.137432	0.901449	0.9726	1.02383	1.10212	-4.13016	0.342034	0.159836	0.158481	0.339648	0.252806
220	-5750.09	-5334.93	-415.163	203.494	0.328838	7.30594e-05	0.280488	0.0483491	0.149074	0.211527	0.062734	0.193835	0.24603	0.136799	0.912353	0.975858	1.02133	1.09045	-4.13632	0.326983	0.157882	0.167097	0.348038	0.280488
230	-5737.14	-5327.89	-409.245	115.742	0.26622	7.31306e-05	0.226183	0.040037	0.164766	0.192092	0.05697	0.254797	0.207146	0.12423	0.884446	0.967404	1.02766	1.12049	-4.1359	0.334462	0.143889	0.169615	0.352034	0.226183
240	-5750.19	-5340.31	-409.882	108.83	0.354433	6.84547e-05	0.316018	0.0384149	0.130116	0.224033	0.052092	0.269823	0.223251	0.100685	0.880921	0.966308	1.02844	1.12433	-4.1646	0.320372	0.171841	0.170584	0.337203	0.316018
250	-5742.87	-5331.59	-411.273	250.766	0.305593	8.00544e-05	0.241203	0.0643902	0.139378	0.271954	0.0558	0.123913	0.301102	0.107852	0.920911	0.978374	1.01935	1.08137	-4.09661	0.321325	0.15219	0.165825	0.36066	0.241203
260	-5738.58	-5331.83	-406.749	175.361	0.505118	7.33569e-05	0.478123	0.0269951	0.141147	0.205926	0.0464622	0.176739	0.282057	0.147669	0.905711	0.97388	1.02286	1.09755	-4.13456	0.341268	0.145902	0.161524	0.351306	0.478123
270	-5738.5	-5329.62	-408.883	158	0.29973	7.14774e-05	0.250845	0.0488854	0.174564	0.184894	0.0417168	0.16723	0.299008	0.132587	0.900765	0.972394	1.02399	1.10285	-4.14583	0.337523	0.158911	0.162633	0.340933	0.250845
280	-5748.28	-5339.63	-408.648	228.946	0.313396	6.04729e-05	0.272659	0.0407375	0.122216	0.166656	0.0534982	0.220803	0.302633	0.134194	0.917287	0.977313	1.02019	1.08521	-4.21844	0.32257	0.16149	0.169474	0.346467	0.272659
290	-5745.94	-5335.41	-410.537	158.847	0.358679	7.55781e-05	0.305963	0.0527154	0.143386	0.23443	0.0403575	0.115863	0.310204	0.155761	0.901025	0.972472	1.02393	1.10257	-4.1216	0.329778	0.150257	0.188993	0.330972	0.305963
300	-5745.77	-5332.83	-412.942	162.254	0.343923	7.06128e-05	0.288703	0.0552201	0.187132	0.207479	0.0364807	0.147705	0.280405	0.140798	0.902049	0.972781	1.0237	1.10147	-4.15112	0.331048	0.148917	0.192013	0.328022	0.288703
310	-5745.12	-5335.71	-409.414	335.693	0.289711	7.58843e-05	0.242465	0.0472459	0.15939	0.175788	0.0381581	0.186094	0.293298	0.147272	0.931501	0.981439	1.01686	1.0702	-4.11985	0.326888	0.150219	0.177867	0.345026	0.242465
320	-5747.5	-5337.46	-410.041	117.863	0.342341	6.52654e-05	0.30747	0.0348708	0.160869	0.243401	0.064989	0.143975	0.246317	0.140448	0.885466	0.967719	1.02743	1.11938	-4.18532	0.334934	0.150137	0.170091	0.344838	0.30747
330	-5738.26	-5328.75	-409.508	252.999	0.403997	6.92721e-05	0.360853	0.0431437	0.149227	0.225787	0.0602859	0.133556	0.2894	0.141744	0.921255	0.978474	1.01927	1.081	-4.15944	0.323275	0.151309	0.169041	0.356375	0.360853
340	-5747.27	-5335.95	-411.313	251.636	0.229185	6.60472e-05	0.181149	0.0480361	0.126073	0.199033	0.0552607	0.146904	0.278513	0.194217	0.921046	0.978413	1.01932	1.08123	-4.18015	0.349732	0.157646	0.170844	0.321778	0.181149
350	-5756.74	-5340.77	-415.963	130.857	0.342869	6.99217e-05	0.30989	0.0329787	0.157672	0.220482	0.0651099	0.139486	0.229105	0.188145	0.891172	0.969477	1.02616	1.11319	-4.15539	0.346384	0.156137	0.17878	0.318699	0.30989
360	-5734.65	-5322.75	-411.898	262.197	0.308513	6.61146e-05	0.269392	0.0391215	0.155913	0.173135	0.0511281	0.196389	0.275692	0.147742	0.922628	0.978875	1.01895	1.07955	-4.1797	0.326001	0.148897	0.18358	0.341523	0.269392
370	-5742.29	-5327.38	-414.902	314.986	0.28451	6.26349e-05	0.233638	0.0508721	0.113828	0.219146	0.0420031	0.143378	0.306019	0.175627	0.929316	0.980811	1.01738	1.0725	-4.20318	0.334786	0.147984	0.182454	0.334777	0.233638
380	-5738.79	-5326.15	-412.639	82.7348	0.199477	6.81874e-05	0.149506	0.0499713	0.182076	0.21419	0.0367062	0.146121	0.267428	0.153479	0.863919	0.960936	1.03216	1.14298	-4.1663	0.342007	0.151024	0.179997	0.326972	0.149506
390	-5740.03	-5327.27	-412.765	92.0799	0.229535	6.15906e-05	0.176849	0.0526862	0.151412	0.235457	0.0414964	0.0894276	0.302327	0.17988	0.870818	0.963134	1.03066	1.13538	-4.21049	0.335874	0.163076	0.160493	0.340557	0.176849
400	-5750.01	-5337.52	-412.489	204.09	0.213165	7.4301e-05	0.173991	0.039174	0.187855	0.197204	0.0355344	0.130463	0.267995	0.180949	0.912479	0.975895	1.02131	1.09032	-4.12901	0.336876	0.155199	0.160971	0.346953	0.173991
410	-5750.37	-5337.03	-413.331	301.271	0.350549	7.11847e-05	0.318918	0.0316305	0.173962	0.17305	0.0435923	0.139995	0.287575	0.181826	0.927747	0.980358	1.01774	1.07415	-4.14761	0.331277	0.155492	0.165622	0.347609	0.318918
420	-5747.44	-5335.36	-412.082	67.5743	0.242378	7.48068e-05	0.187533	0.054845	0.150777	0.216707	0.0382784	0.185581	0.268837	0.139819	0.849885	0.95639	1.03516	1.15857	-4.12606	0.344294	0.159851	0.157533	0.338322	0.187533
430	-5744.03	-5331.1	-412.932	119.676	0.164983	6.44777e-05	0.116724	0.0482589	0.16524	0.267555	0.04726	0.125397	0.221921	0.172626	0.886317	0.967982	1.02724	1.11846	-4.19059	0.334952	0.160668	0.158338	0.346042	0.116724
440	-5742.88	-5329.84	-413.045	109.222	0.22289	7.19034e-05	0.176341	0.0465488	0.146466	0.205091	0.0485855	0.148909	0.245955	0.204993	0.881129	0.966373	1.0284	1.1241	-4.14325	0.336535	0.161427	0.165536	0.336501	0.176341
450	-5757.25	-5342.96	-414.294	248.894	0.257032	6.40029e-05	0.214497	0.0425353	0.124148	0.187416	0.0575819	0.145325	0.242578	0.242951	0.920619	0.978289	1.01942	1.08168	-4.1938	0.361401	0.162257	0.157434	0.318908	0.214497
460	-5760.72	-5342.88	-417.839	286.895	0.245195	5.75755e-05	0.215891	0.0293036	0.179901	0.190412	0.057494	0.145103	0.242208	0.184882	0.925984	0.979849	1.01816	1.07601	-4.23976	0.347878	0.165471	0.148074	0.338577	0.215891
470	-5751.06	-5336.07	-414.995	133.203	0.265359	6.63173e-05	0.225606	0.0397536	0.140064	0.162773	0.0630683	0.159293	0.316788	0.158013	0.892114	0.969765	1.02595	1.11217	-4.17837	0.339039	0.142516	0.171943	0.346502	0.225606
480	-5761.22	-5341.18	-420.045	145.246	0.55188	6.6753e-05	0.5239	0.02798	0.128668	0.156214	0.0623555	0.210325	0.2538	0.188638	0.896588	0.971129	1.02494	1.10735	-4.17553	0.327664	0.144969	0.174902	0.352465	0.5239
490	-5755.99	-5337.51	-418.485	106.14	0.193026	7.21809e-05	0.163486	0.0295399	0.15363	0.273426	0.0597365	0.129069	0.24314	0.140999	0.879458	0.965852	1.02877	1.12592	-4.14158	0.326174	0.171014	0.174107	0.328704	0.163486
500	-5764.09	-5343.9	-420.183	108.26	0.326757	6.05861e-05	0.300328	0.0264283	0.118997	0.24047	0.0439281	0.181983	0.285209	0.129413	0.880616	0.966213	1.02851	1.12466	-4.21763	0.33616	0.169016	0.169961	0.324863	0.300328
510	-5756.12	-5336.96	-419.157	143.866	0.255027	5.78702e-05	0.226236	0.0287913	0.146145	0.180783	0.0431968	0.178954	0.280461	0.17046	0.896104	0.970982	1.02505	1.10787	-4.23754	0.33755	0.145879	0.164362	0.352209	0.226236
520	-5754.07	-5334.06	-420.012	80.3748	0.305222	5.48825e-05	0.257613	0.0476088	0.140172	0.195484	0.0414313	0.105952	0.309287	0.207674	0.861993	0.960318	1.03258	1.14511	-4.26057	0.35211	0.149547	0.168088	0.330254	0.257613
530	-5763.82	-5339.41	-424.41	300.399	0.17995	5.35766e-05	0.143567	0.0363822	0.132679	0.185034	0.0522809	0.241595	0.292755	0.0956552	0.927643	0.980329	1.01777	1.07426	-4.27102	0.343363	0.147883	0.175645	0.33311	0.143567
540	-5758.42	-5333.99	-424.429	37.9269	0.164072	6.06995e-05	0.109487	0.0545856	0.139593	0.217823	0.0477619	0.209721	0.240305	0.144795	0.801809	0.940022	1.04493	1.21324	-4.21681	0.325844	0.155362	0.177293	0.341501	0.109487
550	-5766.35	-5342.19	-424.154	57.0417	0.23321	5.13493e-05	0.194217	0.0389927	0.126608	0.22675	0.0461084	0.183482	0.231986	0.185065	0.837076	0.952151	1.03784	1.17293	-4.28947	0.331196	0.157227	0.165978	0.345599	0.194217
560	-5772.95	-5347.41	-425.544	167.185	0.26934	4.97973e-05	0.230269	0.0390711	0.167002	0.176031	0.0501656	0.142391	0.333724	0.130687	0.903476	0.97321	1.02337	1.09994	-4.30279	0.325557	0.148943	0.169367	0.356133	0.230269
