Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
0	-2207.19	-1822.3	-384.889	82.6259	1.1919	0.000104907	1.14964	0.0422604	0.196249	0.224044	0.0708968	0.185677	0.252895	0.0702384	0.863832	0.960908	1.03218	1.14308	-3.9792	0.361239	0.169571	0.145042	0.324148	1.14964
10	-2189.02	-1830.8	-358.217	93.8238	1.31558	0.000133261	1.28084	0.0347352	0.176749	0.168509	0.0554867	0.240071	0.228484	0.130701	0.871993	0.963506	1.03041	1.1341	-3.8753	0.370889	0.158702	0.157826	0.312583	1.28084
20	-2196.16	-1823.63	-372.532	113.081	1.78981	0.000106696	1.75401	0.0357955	0.208572	0.19885	0.0628343	0.24379	0.21844	0.0675136	0.883126	0.966994	1.02795	1.12193	-3.97185	0.366159	0.169432	0.155813	0.308596	1.75401
30	-2210.18	-1822.82	-387.352	58.5081	0.734361	0.000103399	0.716151	0.0182108	0.227389	0.247433	0.0623485	0.190342	0.201676	0.0708105	0.839059	0.952813	1.03743	1.1707	-3.98548	0.365237	0.181116	0.144343	0.309304	0.716151
40	-2215.64	-1832.88	-382.767	154.546	1.0918	9.83619e-05	1.05323	0.0385687	0.191416	0.217141	0.0309737	0.16023	0.232032	0.168208	0.899684	0.972068	1.02424	1.10401	-4.00717	0.370742	0.169116	0.148346	0.311796	1.05323
50	-2212.62	-1826.7	-385.923	134.103	1.33717	8.72722e-05	1.2957	0.0414762	0.259555	0.2056	0.0306044	0.103418	0.229265	0.171558	0.892469	0.969873	1.02587	1.11179	-4.05912	0.370742	0.169116	0.148346	0.311796	1.2957
60	-2207.67	-1823.01	-384.654	183.828	1.31898	9.33104e-05	1.29775	0.0212311	0.215992	0.202065	0.0425055	0.148241	0.222589	0.168607	0.907868	0.974525	1.02237	1.09524	-4.03007	0.353331	0.193478	0.144683	0.308508	1.29775
70	-2201.58	-1830.28	-371.301	142.957	1.88824	0.000102636	1.85739	0.0308474	0.224994	0.220426	0.0792073	0.11467	0.164149	0.196554	0.895781	0.970884	1.02512	1.10822	-3.9887	0.387802	0.185278	0.135321	0.291599	1.85739
80	-2199.88	-1826.93	-372.955	142.957	1.59355	9.26825e-05	1.56995	0.0235971	0.23514	0.262876	0.021387	0.202155	0.21221	0.0662317	0.895781	0.970884	1.02512	1.10822	-4.033	0.339061	0.204356	0.140751	0.315832	1.56995
90	-2202.87	-1825.95	-376.926	185.18	1.90661	9.56163e-05	1.88057	0.0260458	0.236786	0.186869	0.0347541	0.145619	0.271888	0.124083	0.908198	0.974623	1.02229	1.09489	-4.01947	0.337759	0.186978	0.149815	0.325448	1.88057
