Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
0	-11827	-10887.1	-939.888	0.786049	1.73517	0.000537952	1.71569	0.019479	0.14806	0.242548	0.0411251	0.154402	0.272669	0.141197	0.0925867	0.401456	0.953013	2.55294	-3.26926	0.339151	0.161131	0.157042	0.342676	1.71569
10	-11836.8	-10895.6	-941.224	0.866362	1.13844	0.000482368	1.07968	0.0587649	0.165532	0.263387	0.0377147	0.136357	0.280249	0.11676	0.109582	0.43254	0.973773	2.4841	-3.31662	0.31292	0.164331	0.173268	0.349481	1.07968
20	-11838.6	-10899.3	-939.318	0.664145	1.32225	0.000522651	1.27128	0.0509714	0.170982	0.212288	0.037467	0.166322	0.277679	0.135263	0.0665522	0.34611	0.910821	2.67652	-3.28179	0.326213	0.146255	0.164602	0.36293	1.27128
30	-11837.9	-10903.9	-934.006	0.759297	1.24887	0.0004953	1.21472	0.0341467	0.174631	0.238018	0.0268886	0.144328	0.277985	0.13815	0.0868731	0.390215	0.945005	2.57791	-3.30513	0.337421	0.154725	0.167519	0.340335	1.21472
40	-11830.6	-10892	-938.629	0.827994	1.46593	0.00047972	1.40765	0.0582837	0.172506	0.235122	0.0265615	0.149071	0.287555	0.129185	0.1015	0.418165	0.96442	2.51592	-3.31901	0.334075	0.153503	0.166196	0.346226	1.40765
50	-11838.4	-10901.8	-936.555	0.71939	1.13141	0.00050622	1.08011	0.0513001	0.169888	0.24617	0.0345306	0.138995	0.283191	0.127224	0.0783339	0.372537	0.931847	2.61728	-3.29566	0.326124	0.160504	0.166504	0.346868	1.08011
60	-11819.3	-10892.8	-926.556	0.981766	1.55774	0.000519058	1.52673	0.031013	0.176266	0.23883	0.0376925	0.144213	0.272515	0.130483	0.133301	0.471202	0.996912	2.39859	-3.28478	0.333526	0.156812	0.168532	0.34113	1.52673
70	-11815.2	-10885.5	-929.627	0.703291	1.40267	0.000501942	1.3732	0.0294687	0.172912	0.243237	0.0331335	0.133212	0.291344	0.126163	0.0748914	0.365079	0.926082	2.63395	-3.29935	0.320629	0.159541	0.169607	0.350224	1.3732
80	-11811	-10883.9	-927.103	0.957987	1.45646	0.000522757	1.42401	0.0324572	0.156351	0.242179	0.0333208	0.162474	0.280062	0.125614	0.128497	0.463749	0.992674	2.41508	-3.2817	0.323119	0.156035	0.161999	0.358847	1.42401
90	-11802.6	-10877.7	-924.857	0.771449	1.38926	0.000506883	1.36693	0.0223352	0.162201	0.244239	0.035938	0.155935	0.274667	0.127019	0.0894705	0.39538	0.948718	2.56643	-3.29509	0.333367	0.157518	0.162426	0.346689	1.36693
