species,Isaac,IUCN50,IUCN100,IUCN500
Notophthalmus_viridescens,1,1,1,1
Salamandra_salamandra,2,2,2,2
Triturus_carnifex,3,3,3,3
Salamandra_atra,4,4,4,4
Taricha_torosa,5,5,5,5
Triturus_karelinii,6,6,6,6
Tylototriton_verrucosus,7,7,7,7
Pachytriton_brevipes,8,8,8,8
Lissotriton_montandoni,9,9,9,9
Triturus_marmoratus,10,10,10,10
Pachytriton_labiatus,11,11,11,11
Salamandra_corsica,12,12,12,12
Triturus_cristatus,13,60,57,50
Paramesotriton_chinensis,14,27,27,27
Salamandra_infraimmaculata,15,48,48,61
Taricha_rivularis,16,56,60,60
Tylototriton_shanjing,17,17,17,17
Lissotriton_italicus,18,55,59,58
Calotriton_asper,19,62,62,57
Cynops_pyrrhogaster,20,20,20,20
Taricha_granulosa,21,58,61,62
Ommatotriton_vittatus,22,21,21,21
Ommatotriton_ophryticus,23,24,24,24
Triturus_pygmaeus,24,16,16,16
Paramesotriton_hongkongensis,25,50,50,52
Triturus_dobrogicus,26,54,55,56
Tylototriton_asperrimus,27,57,54,48
Euproctus_montanus,28,53,53,55
Notophthalmus_perstriatus,29,51,51,53
Lissotriton_boscai,30,43,43,43
Salamandrina_perspicillata,31,44,44,44
Paramesotriton_caudopunctatus,32,47,47,59
Salamandrina_terdigitata,33,38,38,38
Salamandra_lanzai,34,61,58,51
Lissotriton_helveticus,35,59,56,49
Paramesotriton_fuzhongensis,36,45,45,45
Pleurodeles_waltl,37,49,49,47
Neurergus_crocatus,38,33,33,33
Paramesotriton_deloustali,39,28,28,28
Tylototriton_wenxianensis,40,19,19,19
Tylototriton_kweichowensis,41,34,34,34
Pleurodeles_nebulosus,42,14,14,14
Lyciasalamandra_helverseni,43,39,39,39
Lyciasalamandra_luschani,44,37,37,37
Neurergus_strauchii,45,30,30,30
Notophthalmus_meridionalis,46,42,42,42
Salamandra_algira,47,52,52,54
Lyciasalamandra_antalyana,48,35,35,35
Lyciasalamandra_flavimembris,49,46,46,46
Pleurodeles_poireti,50,25,25,25
Lyciasalamandra_fazilae,51,36,36,36
Lyciasalamandra_atifi,52,22,22,22
Echinotriton_andersoni,53,23,23,23
Lyciasalamandra_billae,54,18,18,18
Cynops_ensicauda,55,15,15,15
Neurergus_microspilotus,56,13,13,13
Calotriton_arnoldi,57,31,31,31
Neurergus_kaiseri,58,29,29,29
Mertensiella_caucasica,59,32,32,32
Euproctus_platycephalus,60,41,41,41
Chioglossa_lusitanica,61,26,26,26
Echinotriton_chinhaiensis,62,40,40,40
