"amphipod"	"host"
"1"	"Parascelus typhoides"	"Athorybia rosacea"
"2"	"Lanceola sayana"	"Pelagia noctiluca"
"3"	"Vibilia armata"	"Thalia democratica"
"4"	"Vibilia armata"	"Salpa fusiformis"
"5"	"Vibilia propinqua"	"Thalia democratica"
"6"	"Vibilia propinqua"	"Salpa fusiformis"
"7"	"Vibilia viatrix"	"Pegea confoederata"
"8"	"Vibilia viatrix"	"Salpa maxima"
"9"	"Vibilia viatrix"	"Iasis cylindrica"
"10"	"Vibilia propinqua"	"Pegea confoederata"
"11"	"Vibilia propinqua"	"Iasis cylindrica"
"12"	"Vibilia propinqua"	"Salpa maxima"
"13"	"Hyperoche medusarum"	"Aurelia aurita"
"14"	"Hyperoche medusarum"	"Beroe forskalii"
"15"	"Lestrigonus schizogeneios"	"Lampea pancerina"
"16"	"Lestrigonus schizogeneios"	"Liriope tetraphylla"
"17"	"Lestrigonus bengalensis"	"Eirene pyramidalis"
"18"	"Phronima sedentaria"	"Thalia democratica"
"19"	"Phronima sedentaria"	"Salpa fusiformis"
"20"	"Phronima sedentaria"	"Pyrosoma atlanticum"
"21"	"Eupronoe minuta"	"Agalma elegans"
"22"	"Eupronoe minuta"	"Forskalia tholoides"
"23"	"Eupronoe minuta"	"Forskalia edwardsi"
"24"	"Eupronoe minuta"	"Agalma okeni"
"25"	"Eupronoe minuta"	"Athorybia rosacea"
"26"	"Lycaea pulex"	"Salpa maxima"
"27"	"Lycaea pulex"	"Pegea confoederata"
"28"	"Lycaea pulex"	"Cyclosalpa affinis"
"29"	"Lycaea pulex"	"Pegea bicaudata"
"30"	"Lycaea pulex"	"Iasis cylindrica"
"31"	"Lycaea nasuta"	"Cyclosalpa affinis"
"32"	"Brachyscelus crusculum"	"Cyclosalpa affinis"
"33"	"Brachyscelus crusculum"	"Iasis zonaria"
"34"	"Brachyscelus crusculum"	"Salpa maxima"
"35"	"Brachyscelus crusculum"	"Thalia democratica"
"36"	"Oxycephalus clausi"	"Iasis cylindrica"
"37"	"Oxycephalus clausi"	"Mnemiopsis leidyi"
"38"	"Oxycephalus clausi"	"Cestum veneris"
"39"	"Streetsia porcella"	"Leucothea multicornis"
"40"	"Amphithyrus bispinosus"	"Agalma elegans"
"41"	"Tetrathyrus forcipatus"	"Nanomia bijuga"
"42"	"Vibilia armata"	"Pegea confoederata"
"43"	"Hyperietta stephenseni"	"Sphaerozoum punctatum"
"44"	"Hyperietta stephenseni"	"Collozoum inerme"
"45"	"Eupronoe minuta"	"Sulculeolaria quadrivalvis"
"46"	"Brachyscelus crusculum"	"Salpa fusiformis"
"47"	"Lycaea pulex"	"Pyrosoma atlanticum"
"48"	"Simorhynchotus antennarius"	"Geryonia proboscidalis"
"49"	"Simorhynchotus antennarius"	"Liriope tetraphylla"
"50"	"Simorhynchotus antennarius"	"Sulculeolaria quadrivalvis"
"51"	"Vibilia propinqua"	"Salpa aspera"
"52"	"Hyperietta stephenseni"	"Iasis zonaria"
"53"	"Lestrigonus bengalensis"	"Thalia democratica"
