Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24344.1	-24340.3	-3.71266	0.358099	0.0668406	0.164525	0.305518	0.114132	0.06006	0.336731	0.0189479	0.190503	0.0121212	0.106813	0.0973406	0.0033118	0.116364	0.26326	0.081252	0.157109	0.0856581	0.108272	0.013268	0.210112	0.0323837	0.053876	0.00321155	0.147791	0.491648	0.171635	0.0982156	0.0563598	0.0343506	0.0111624	0.14984	0.681646	3.15735	0.81584	0.022795	0.073156	0.0882093	2.60161
1	-15006.5	-14990.1	-16.3188	0.482918	0.159838	0.0584779	1.48024	0.109081	0.0118747	0.10414	0.00502954	0.0381426	0.00472836	0.105415	0.0573399	0.00148116	0.0821238	0.320931	0.439681	0.33205	0.0230588	0.188094	0.013268	0.292213	0.010154	0.0128472	0.0113988	0.193176	0.35914	0.136307	0.0807344	0.18386	0.0467831	0.030267	0.240618	0.80743	2.92169	0.261162	0.198859	0.237484	0.302496	3.86161
2	-14654	-14631.5	-22.4439	0.453115	0.193327	0.0369671	1.86853	0.0959315	0.00392332	0.0891152	0.00367241	0.00994607	0.00510242	0.102114	0.0155824	0.000455909	0.0819915	0.308377	0.917385	0.27583	0.0523832	0.0630332	0.0243375	0.282578	0.00426258	0.035255	0.00416556	0.159516	0.276531	0.104954	0.062164	0.333007	0.0638279	0.025063	0.22021	0.78291	2.97182	0.261162	0.198859	0.237484	0.302496	4.47426
3	-14610	-14587.4	-22.5718	0.400068	0.171554	0.0099016	1.97677	0.141556	0.00559467	0.0611269	0.00113938	0.0022198	0.00219082	0.121879	0.0118678	0.00026241	0.0771204	0.291322	0.931278	0.254896	0.0516618	0.0551562	0.038367	0.211299	0.00349533	0.0556247	0.0110388	0.140125	0.230731	0.0812394	0.087718	0.38661	0.0735772	0.0167242	0.181807	0.731354	3.07012	0.271023	0.206367	0.208693	0.313917	4.48732
4	-14065.3	-14039.7	-25.5418	0.400068	0.150853	0.0187685	2.0892	0.0236251	0.000998765	0.038637	0.00167554	0.00251659	0.00388145	0.100057	0.00852363	0.000285772	0.142587	0.085535	1.33198	0.254896	0.0643161	0.0706445	0.0188866	0.152836	0.00832949	0.0124748	0.202816	0.155078	0.246049	0.0826037	0.0846136	0.353194	0.078462	0.0167242	0.181807	0.731354	3.07012	0.274556	0.209057	0.211413	0.304974	4.78432
5	-13909.6	-13889.3	-20.3089	0.416036	0.174129	0.0359518	1.89538	0.0101393	0.00396982	0.0645804	0.00235508	0.000852247	0.00168672	0.0342557	0.00741013	0.000766178	0.144162	0.177342	1.2087	0.0250536	0.0519321	0.0208756	0.0457182	0.0539321	0.00357157	0.0251155	0.273061	0.145409	0.276732	0.107044	0.0839343	0.309302	0.0775793	0.0190942	0.19363	0.748066	3.03921	0.277847	0.211564	0.213948	0.296641	4.26094
6	-13866.1	-13850	-16.1237	0.485409	0.123634	0.051937	1.664	0.00895151	0.00131933	0.0518137	0.00191705	0.00294158	0.000390358	0.0444956	0.00804159	0.000667707	0.147522	0.107125	1.10307	0.0164206	0.0612591	0.0264594	0.0270858	0.0388263	0.000706197	0.0223149	0.331191	0.139712	0.208572	0.0997846	0.101274	0.341471	0.109187	0.0307162	0.242284	0.809354	2.91765	0.300819	0.179165	0.217898	0.302118	3.84208
7	-13846.6	-13834.3	-12.3323	0.497159	0.120741	0.0490487	1.31682	0.0137435	0.00106556	0.0518137	0.00173822	0.008661	0.000950073	0.0267326	0.0078041	0.00136228	0.0560366	0.0631535	1.13218	0.0206056	0.0388099	0.0090435	0.0388195	0.0867972	0.000489394	0.069718	0.346745	0.144603	0.215874	0.0864052	0.110871	0.353425	0.0888215	0.0328625	0.250057	0.818191	2.89889	0.300479	0.178963	0.217652	0.302906	3.46288
8	-13843.9	-13833.5	-10.3931	0.510012	0.118865	0.0633977	1.4175	0.00683847	0.00291513	0.0453708	0.00428945	0.0214444	0.00020101	0.0204369	0.00673107	0.0019306	0.0689601	0.033544	0.955706	0.0145631	0.0230775	0.00610354	0.0199256	0.0871268	0.000186011	0.0608329	0.288952	0.164783	0.19958	0.0858802	0.110197	0.351278	0.0882818	0.035258	0.258401	0.827419	2.87892	0.300479	0.178963	0.217652	0.302906	3.2689
9	-13819.3	-13805.2	-14.0641	0.539649	0.107421	0.0470651	1.38252	0.0188696	0.00384017	0.0570173	0.00169257	0.0187174	0.000224937	0.0320307	0.00538469	0.00502998	0.0975542	0.0228752	1.1007	0.025751	0.0227878	0.00213977	0.0450529	0.09511	9.94656e-05	0.126548	0.417418	0.174419	0.206844	0.0890059	0.0741725	0.364063	0.091495	0.0409512	0.277014	0.847104	2.83493	0.303569	0.178172	0.21669	0.301568	3.63585
